          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
    model-47628 ,    0.784 ,    0.636 ,    0.496 ,    0.374 ,    0.273 ,    0.591 ,    0.440
    model-48428 ,    0.777 ,    0.625 ,    0.483 ,    0.364 ,    0.271 ,    0.585 ,    0.440
    model-49664 ,    0.778 ,    0.628 ,    0.487 ,    0.367 ,    0.271 ,    0.584 ,    0.428
    model-50464 ,    0.780 ,    0.624 ,    0.480 ,    0.358 ,    0.270 ,    0.584 ,    0.430
    model-51700 ,    0.779 ,    0.630 ,    0.490 ,    0.370 ,    0.272 ,    0.585 ,    0.439
    model-52500 ,    0.780 ,    0.631 ,    0.492 ,    0.372 ,    0.272 ,    0.589 ,    0.434
    model-53736 ,    0.780 ,    0.628 ,    0.485 ,    0.365 ,    0.272 ,    0.588 ,    0.436
    model-54536 ,    0.783 ,    0.635 ,    0.496 ,    0.375 ,    0.273 ,    0.589 ,    0.443
    model-55772 ,    0.777 ,    0.627 ,    0.486 ,    0.367 ,    0.272 ,    0.582 ,    0.438
    model-56572 ,    0.779 ,    0.629 ,    0.489 ,    0.367 ,    0.274 ,    0.591 ,    0.442
    model-57808 ,    0.773 ,    0.619 ,    0.477 ,    0.358 ,    0.271 ,    0.582 ,    0.437
    model-58608 ,    0.776 ,    0.624 ,    0.481 ,    0.360 ,    0.271 ,    0.584 ,    0.431
    model-59844 ,    0.781 ,    0.630 ,    0.488 ,    0.368 ,    0.273 ,    0.587 ,    0.445
    model-60644 ,    0.785 ,    0.636 ,    0.496 ,    0.375 ,    0.273 ,    0.592 ,    0.447
    model-61080 ,    0.779 ,    0.630 ,    0.490 ,    0.371 ,    0.272 ,    0.588 ,    0.441
    model-61880 ,    0.779 ,    0.626 ,    0.483 ,    0.362 ,    0.272 ,    0.585 ,    0.443
    model-62680 ,    0.779 ,    0.626 ,    0.484 ,    0.363 ,    0.271 ,    0.586 ,    0.442
    model-63916 ,    0.782 ,    0.632 ,    0.491 ,    0.372 ,    0.273 ,    0.590 ,    0.445
    model-64716 ,    0.779 ,    0.629 ,    0.487 ,    0.367 ,    0.273 ,    0.586 ,    0.444
    model-65952 ,    0.780 ,    0.631 ,    0.491 ,    0.372 ,    0.274 ,    0.587 ,    0.453
    model-66752 ,    0.778 ,    0.631 ,    0.493 ,    0.374 ,    0.273 ,    0.584 ,    0.447
    model-67988 ,    0.782 ,    0.630 ,    0.487 ,    0.367 ,    0.273 ,    0.585 ,    0.439
    model-68788 ,    0.776 ,    0.627 ,    0.488 ,    0.368 ,    0.272 ,    0.582 ,    0.443
    model-70024 ,    0.780 ,    0.634 ,    0.495 ,    0.374 ,    0.274 ,    0.588 ,    0.449
    model-70824 ,    0.776 ,    0.623 ,    0.481 ,    0.359 ,    0.271 ,    0.581 ,    0.448
    model-72060 ,    0.782 ,    0.631 ,    0.491 ,    0.371 ,    0.273 ,    0.586 ,    0.450
    model-72860 ,    0.779 ,    0.630 ,    0.490 ,    0.371 ,    0.270 ,    0.584 ,    0.450
    model-74096 ,    0.777 ,    0.626 ,    0.485 ,    0.366 ,    0.270 ,    0.585 ,    0.443
    model-74896 ,    0.780 ,    0.626 ,    0.483 ,    0.362 ,    0.271 ,    0.583 ,    0.438
    model-76132 ,    0.780 ,    0.630 ,    0.488 ,    0.368 ,    0.273 ,    0.583 ,    0.448
    model-76932 ,    0.780 ,    0.629 ,    0.488 ,    0.368 ,    0.273 ,    0.583 ,    0.445
    model-78168 ,    0.782 ,    0.636 ,    0.497 ,    0.376 ,    0.273 ,    0.587 ,    0.454
    model-78968 ,    0.778 ,    0.627 ,    0.486 ,    0.366 ,    0.272 ,    0.582 ,    0.446
    model-80204 ,    0.780 ,    0.631 ,    0.492 ,    0.370 ,    0.274 ,    0.585 ,    0.444
    model-81004 ,    0.782 ,    0.633 ,    0.492 ,    0.370 ,    0.274 ,    0.584 ,    0.449
    model-82240 ,    0.781 ,    0.630 ,    0.489 ,    0.370 ,    0.272 ,    0.584 ,    0.448
    model-83040 ,    0.779 ,    0.628 ,    0.487 ,    0.367 ,    0.274 ,    0.585 ,    0.446
    model-84276 ,    0.778 ,    0.625 ,    0.484 ,    0.362 ,    0.271 ,    0.583 ,    0.439
    model-85076 ,    0.775 ,    0.627 ,    0.488 ,    0.369 ,    0.272 ,    0.583 ,    0.452
    model-86312 ,    0.781 ,    0.631 ,    0.491 ,    0.371 ,    0.274 ,    0.584 ,    0.447
    model-87112 ,    0.774 ,    0.620 ,    0.477 ,    0.358 ,    0.271 ,    0.577 ,    0.440
    model-88348 ,    0.779 ,    0.630 ,    0.490 ,    0.370 ,    0.272 ,    0.584 ,    0.447
    model-89148 ,    0.777 ,    0.626 ,    0.484 ,    0.364 ,    0.271 ,    0.581 ,    0.440
    model-90384 ,    0.776 ,    0.625 ,    0.485 ,    0.366 ,    0.271 ,    0.583 ,    0.447
    model-91184 ,    0.780 ,    0.630 ,    0.487 ,    0.367 ,    0.273 ,    0.584 ,    0.447
    model-92420 ,    0.778 ,    0.626 ,    0.485 ,    0.365 ,    0.270 ,    0.580 ,    0.448
    model-93220 ,    0.771 ,    0.622 ,    0.483 ,    0.365 ,    0.270 ,    0.578 ,    0.442
    model-94456 ,    0.780 ,    0.630 ,    0.488 ,    0.367 ,    0.273 ,    0.582 ,    0.449
    model-95256 ,    0.777 ,    0.626 ,    0.485 ,    0.365 ,    0.271 ,    0.584 ,    0.447
    model-96492 ,    0.775 ,    0.622 ,    0.479 ,    0.360 ,    0.271 ,    0.581 ,    0.438
    model-97292 ,    0.778 ,    0.629 ,    0.490 ,    0.371 ,    0.273 ,    0.587 ,    0.449
    model-98528 ,    0.775 ,    0.623 ,    0.484 ,    0.366 ,    0.271 ,    0.583 ,    0.447
    model-99328 ,    0.775 ,    0.624 ,    0.484 ,    0.364 ,    0.272 ,    0.582 ,    0.448
   model-100564 ,    0.772 ,    0.620 ,    0.478 ,    0.359 ,    0.270 ,    0.578 ,    0.441
   model-101364 ,    0.773 ,    0.621 ,    0.479 ,    0.360 ,    0.269 ,    0.580 ,    0.439
   model-101800 ,    0.776 ,    0.622 ,    0.481 ,    0.362 ,    0.270 ,    0.577 ,    0.442
