          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
      model-800 ,    0.712 ,    0.465 ,    0.301 ,    0.044 ,    0.160 ,    0.522 ,    0.034
     model-1600 ,    0.654 ,    0.453 ,    0.303 ,    0.077 ,    0.169 ,    0.513 ,    0.036
     model-2836 ,    0.679 ,    0.496 ,    0.346 ,    0.198 ,    0.197 ,    0.530 ,    0.165
     model-3636 ,    0.737 ,    0.571 ,    0.419 ,    0.290 ,    0.229 ,    0.555 ,    0.242
     model-4872 ,    0.741 ,    0.580 ,    0.442 ,    0.325 ,    0.241 ,    0.568 ,    0.277
     model-5672 ,    0.736 ,    0.575 ,    0.440 ,    0.324 ,    0.239 ,    0.567 ,    0.288
     model-6908 ,    0.751 ,    0.589 ,    0.449 ,    0.333 ,    0.247 ,    0.572 ,    0.305
     model-7708 ,    0.762 ,    0.599 ,    0.458 ,    0.337 ,    0.247 ,    0.577 ,    0.315
     model-8944 ,    0.761 ,    0.599 ,    0.461 ,    0.341 ,    0.250 ,    0.581 ,    0.334
     model-9744 ,    0.768 ,    0.606 ,    0.467 ,    0.347 ,    0.253 ,    0.583 ,    0.359
    model-10980 ,    0.770 ,    0.610 ,    0.469 ,    0.347 ,    0.255 ,    0.584 ,    0.366
    model-11780 ,    0.771 ,    0.616 ,    0.479 ,    0.358 ,    0.256 ,    0.587 ,    0.369
    model-13016 ,    0.771 ,    0.613 ,    0.472 ,    0.349 ,    0.256 ,    0.582 ,    0.366
    model-13816 ,    0.749 ,    0.580 ,    0.441 ,    0.323 ,    0.242 ,    0.568 ,    0.312
    model-15052 ,    0.761 ,    0.599 ,    0.460 ,    0.341 ,    0.252 ,    0.577 ,    0.355
    model-15852 ,    0.771 ,    0.610 ,    0.469 ,    0.346 ,    0.256 ,    0.581 ,    0.369
    model-17088 ,    0.774 ,    0.618 ,    0.480 ,    0.357 ,    0.259 ,    0.584 ,    0.381
    model-17888 ,    0.776 ,    0.621 ,    0.481 ,    0.356 ,    0.262 ,    0.587 ,    0.387
    model-19124 ,    0.775 ,    0.622 ,    0.483 ,    0.360 ,    0.263 ,    0.587 ,    0.389
    model-19924 ,    0.774 ,    0.622 ,    0.483 ,    0.360 ,    0.262 ,    0.585 ,    0.389
    model-21160 ,    0.777 ,    0.625 ,    0.487 ,    0.366 ,    0.261 ,    0.586 ,    0.397
    model-21960 ,    0.779 ,    0.626 ,    0.485 ,    0.360 ,    0.264 ,    0.586 ,    0.399
    model-23196 ,    0.772 ,    0.622 ,    0.483 ,    0.360 ,    0.262 ,    0.586 ,    0.400
    model-23996 ,    0.778 ,    0.630 ,    0.493 ,    0.370 ,    0.266 ,    0.590 ,    0.402
    model-25232 ,    0.778 ,    0.630 ,    0.493 ,    0.371 ,    0.266 ,    0.590 ,    0.411
    model-26032 ,    0.779 ,    0.627 ,    0.489 ,    0.367 ,    0.267 ,    0.588 ,    0.415
    model-27268 ,    0.780 ,    0.630 ,    0.494 ,    0.374 ,    0.267 ,    0.587 ,    0.414
    model-28068 ,    0.780 ,    0.629 ,    0.492 ,    0.371 ,    0.266 ,    0.588 ,    0.414
    model-29304 ,    0.783 ,    0.633 ,    0.494 ,    0.372 ,    0.268 ,    0.588 ,    0.418
    model-30104 ,    0.783 ,    0.633 ,    0.495 ,    0.375 ,    0.268 ,    0.592 ,    0.418
    model-31340 ,    0.782 ,    0.633 ,    0.497 ,    0.374 ,    0.268 ,    0.589 ,    0.416
    model-32140 ,    0.777 ,    0.627 ,    0.490 ,    0.370 ,    0.268 ,    0.582 ,    0.425
    model-33376 ,    0.778 ,    0.633 ,    0.498 ,    0.377 ,    0.271 ,    0.589 ,    0.426
    model-34176 ,    0.784 ,    0.635 ,    0.494 ,    0.372 ,    0.272 ,    0.592 ,    0.430
    model-35412 ,    0.779 ,    0.633 ,    0.495 ,    0.375 ,    0.269 ,    0.587 ,    0.423
    model-36212 ,    0.785 ,    0.637 ,    0.498 ,    0.376 ,    0.270 ,    0.591 ,    0.429
    model-37448 ,    0.781 ,    0.632 ,    0.491 ,    0.369 ,    0.271 ,    0.587 ,    0.424
    model-38248 ,    0.781 ,    0.633 ,    0.494 ,    0.372 ,    0.271 ,    0.589 ,    0.426
    model-39484 ,    0.779 ,    0.627 ,    0.486 ,    0.365 ,    0.268 ,    0.584 ,    0.426
    model-40284 ,    0.780 ,    0.634 ,    0.497 ,    0.376 ,    0.272 ,    0.589 ,    0.433
    model-41520 ,    0.776 ,    0.624 ,    0.481 ,    0.360 ,    0.268 ,    0.583 ,    0.425
    model-42320 ,    0.774 ,    0.627 ,    0.491 ,    0.372 ,    0.269 ,    0.584 ,    0.436
    model-43556 ,    0.783 ,    0.632 ,    0.490 ,    0.369 ,    0.272 ,    0.589 ,    0.431
    model-44356 ,    0.782 ,    0.630 ,    0.486 ,    0.364 ,    0.271 ,    0.584 ,    0.427
    model-45592 ,    0.785 ,    0.635 ,    0.496 ,    0.376 ,    0.273 ,    0.593 ,    0.442
    model-46392 ,    0.780 ,    0.627 ,    0.485 ,    0.365 ,    0.271 ,    0.584 ,    0.435
