          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
     model-1000 ,    0.764 ,    0.603 ,    0.459 ,    0.336 ,    0.246 ,    0.577 ,    0.329
     model-2000 ,    0.743 ,    0.601 ,    0.469 ,    0.354 ,    0.250 ,    0.577 ,    0.364
     model-3036 ,    0.750 ,    0.611 ,    0.481 ,    0.366 ,    0.256 ,    0.584 ,    0.398
     model-4036 ,    0.748 ,    0.608 ,    0.480 ,    0.366 ,    0.257 ,    0.582 ,    0.396
     model-5072 ,    0.725 ,    0.598 ,    0.479 ,    0.369 ,    0.255 ,    0.582 ,    0.409
     model-6072 ,    0.755 ,    0.617 ,    0.487 ,    0.371 ,    0.261 ,    0.583 ,    0.417
     model-7108 ,    0.756 ,    0.612 ,    0.481 ,    0.368 ,    0.262 ,    0.582 ,    0.417
     model-8108 ,    0.724 ,    0.594 ,    0.473 ,    0.364 ,    0.253 ,    0.574 ,    0.404
     model-9144 ,    0.755 ,    0.608 ,    0.477 ,    0.366 ,    0.260 ,    0.577 ,    0.414
    model-10144 ,    0.757 ,    0.610 ,    0.479 ,    0.367 ,    0.259 ,    0.580 ,    0.407
    model-11180 ,    0.754 ,    0.604 ,    0.470 ,    0.356 ,    0.257 ,    0.573 ,    0.395
    model-12180 ,    0.771 ,    0.620 ,    0.482 ,    0.367 ,    0.265 ,    0.582 ,    0.420
    model-13216 ,    0.753 ,    0.611 ,    0.482 ,    0.371 ,    0.258 ,    0.581 ,    0.406
    model-14216 ,    0.756 ,    0.610 ,    0.479 ,    0.367 ,    0.261 ,    0.576 ,    0.407
    model-15252 ,    0.743 ,    0.601 ,    0.476 ,    0.368 ,    0.259 ,    0.575 ,    0.394
    model-16252 ,    0.754 ,    0.612 ,    0.481 ,    0.369 ,    0.261 ,    0.584 ,    0.407
    model-17288 ,    0.732 ,    0.597 ,    0.476 ,    0.369 ,    0.255 ,    0.576 ,    0.404
    model-18288 ,    0.751 ,    0.611 ,    0.483 ,    0.369 ,    0.258 ,    0.578 ,    0.411
    model-19324 ,    0.757 ,    0.608 ,    0.476 ,    0.362 ,    0.262 ,    0.576 ,    0.402
    model-20324 ,    0.758 ,    0.612 ,    0.481 ,    0.366 ,    0.260 ,    0.579 ,    0.404
    model-21360 ,    0.734 ,    0.593 ,    0.466 ,    0.355 ,    0.251 ,    0.570 ,    0.387
    model-22360 ,    0.748 ,    0.604 ,    0.476 ,    0.363 ,    0.256 ,    0.574 ,    0.402
    model-23396 ,    0.752 ,    0.608 ,    0.475 ,    0.360 ,    0.258 ,    0.577 ,    0.392
    model-24396 ,    0.757 ,    0.604 ,    0.467 ,    0.351 ,    0.258 ,    0.573 ,    0.402
    model-25432 ,    0.756 ,    0.609 ,    0.475 ,    0.358 ,    0.261 ,    0.578 ,    0.401
    model-26432 ,    0.751 ,    0.602 ,    0.468 ,    0.352 ,    0.254 ,    0.571 ,    0.393
    model-27468 ,    0.755 ,    0.604 ,    0.472 ,    0.359 ,    0.260 ,    0.573 ,    0.398
    model-28468 ,    0.740 ,    0.598 ,    0.468 ,    0.355 ,    0.253 ,    0.570 ,    0.383
    model-29504 ,    0.748 ,    0.603 ,    0.473 ,    0.362 ,    0.257 ,    0.573 ,    0.392
    model-30504 ,    0.758 ,    0.607 ,    0.472 ,    0.357 ,    0.259 ,    0.574 ,    0.398
    model-31540 ,    0.753 ,    0.603 ,    0.470 ,    0.354 ,    0.256 ,    0.572 ,    0.386
    model-32540 ,    0.761 ,    0.607 ,    0.469 ,    0.354 ,    0.260 ,    0.575 ,    0.397
    model-33576 ,    0.743 ,    0.590 ,    0.454 ,    0.339 ,    0.252 ,    0.564 ,    0.380
    model-34576 ,    0.751 ,    0.602 ,    0.470 ,    0.359 ,    0.259 ,    0.574 ,    0.392
    model-35612 ,    0.740 ,    0.594 ,    0.464 ,    0.351 ,    0.253 ,    0.567 ,    0.386
    model-36612 ,    0.745 ,    0.601 ,    0.470 ,    0.355 ,    0.256 ,    0.573 ,    0.388
