          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
      model-800 ,    0.654 ,    0.460 ,    0.318 ,    0.171 ,    0.175 ,    0.513 ,    0.068
     model-1600 ,    0.698 ,    0.538 ,    0.400 ,    0.279 ,    0.222 ,    0.545 ,    0.211
     model-2836 ,    0.735 ,    0.568 ,    0.431 ,    0.311 ,    0.237 ,    0.563 ,    0.271
     model-3636 ,    0.751 ,    0.587 ,    0.450 ,    0.331 ,    0.247 ,    0.573 ,    0.303
     model-4872 ,    0.759 ,    0.596 ,    0.459 ,    0.343 ,    0.248 ,    0.575 ,    0.327
     model-5672 ,    0.764 ,    0.606 ,    0.467 ,    0.349 ,    0.252 ,    0.581 ,    0.341
     model-6908 ,    0.767 ,    0.608 ,    0.470 ,    0.352 ,    0.257 ,    0.583 ,    0.362
     model-7708 ,    0.767 ,    0.612 ,    0.478 ,    0.362 ,    0.257 ,    0.579 ,    0.381
     model-8944 ,    0.777 ,    0.623 ,    0.484 ,    0.362 ,    0.262 ,    0.584 ,    0.393
     model-9744 ,    0.778 ,    0.626 ,    0.489 ,    0.368 ,    0.262 ,    0.587 ,    0.400
    model-10980 ,    0.780 ,    0.626 ,    0.486 ,    0.364 ,    0.264 ,    0.586 ,    0.398
    model-11780 ,    0.780 ,    0.627 ,    0.490 ,    0.371 ,    0.266 ,    0.591 ,    0.412
    model-13016 ,    0.779 ,    0.629 ,    0.490 ,    0.369 ,    0.268 ,    0.589 ,    0.412
    model-13816 ,    0.782 ,    0.632 ,    0.495 ,    0.375 ,    0.269 ,    0.591 ,    0.420
    model-15052 ,    0.772 ,    0.620 ,    0.483 ,    0.363 ,    0.268 ,    0.582 ,    0.414
    model-15852 ,    0.781 ,    0.628 ,    0.490 ,    0.370 ,    0.269 ,    0.588 ,    0.427
    model-17088 ,    0.778 ,    0.627 ,    0.493 ,    0.375 ,    0.269 ,    0.587 ,    0.423
    model-17888 ,    0.780 ,    0.627 ,    0.488 ,    0.367 ,    0.271 ,    0.590 ,    0.427
