          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
    model-19124 ,    0.785 ,    0.635 ,    0.497 ,    0.378 ,    0.271 ,    0.589 ,    0.436
    model-19924 ,    0.789 ,    0.637 ,    0.494 ,    0.372 ,    0.271 ,    0.590 ,    0.437
    model-21160 ,    0.781 ,    0.628 ,    0.487 ,    0.367 ,    0.272 ,    0.587 ,    0.434
    model-21960 ,    0.781 ,    0.628 ,    0.490 ,    0.372 ,    0.270 ,    0.589 ,    0.434
    model-23196 ,    0.780 ,    0.632 ,    0.496 ,    0.378 ,    0.272 ,    0.590 ,    0.438
    model-23996 ,    0.784 ,    0.636 ,    0.499 ,    0.379 ,    0.274 ,    0.593 ,    0.440
    model-25232 ,    0.781 ,    0.625 ,    0.482 ,    0.362 ,    0.272 ,    0.583 ,    0.431
    model-26032 ,    0.782 ,    0.631 ,    0.492 ,    0.373 ,    0.273 ,    0.588 ,    0.438
    model-27268 ,    0.785 ,    0.633 ,    0.494 ,    0.375 ,    0.275 ,    0.590 ,    0.439
    model-28068 ,    0.784 ,    0.632 ,    0.493 ,    0.373 ,    0.273 ,    0.587 ,    0.434
    model-29304 ,    0.777 ,    0.617 ,    0.472 ,    0.352 ,    0.273 ,    0.582 ,    0.428
    model-30104 ,    0.784 ,    0.628 ,    0.485 ,    0.364 ,    0.275 ,    0.585 ,    0.435
    model-31340 ,    0.783 ,    0.628 ,    0.487 ,    0.368 ,    0.274 ,    0.586 ,    0.436
    model-32140 ,    0.784 ,    0.629 ,    0.488 ,    0.368 ,    0.274 ,    0.586 ,    0.435
    model-33376 ,    0.780 ,    0.631 ,    0.493 ,    0.375 ,    0.273 ,    0.590 ,    0.445
    model-34176 ,    0.787 ,    0.634 ,    0.493 ,    0.373 ,    0.275 ,    0.587 ,    0.439
    model-35412 ,    0.785 ,    0.632 ,    0.491 ,    0.371 ,    0.274 ,    0.586 ,    0.437
    model-36212 ,    0.782 ,    0.628 ,    0.489 ,    0.371 ,    0.274 ,    0.588 ,    0.438
    model-37448 ,    0.781 ,    0.633 ,    0.494 ,    0.375 ,    0.273 ,    0.588 ,    0.440
    model-38248 ,    0.782 ,    0.631 ,    0.492 ,    0.372 ,    0.274 ,    0.589 ,    0.441
    model-39484 ,    0.781 ,    0.627 ,    0.487 ,    0.368 ,    0.274 ,    0.585 ,    0.444
    model-40284 ,    0.788 ,    0.635 ,    0.492 ,    0.371 ,    0.275 ,    0.588 ,    0.438
    model-41520 ,    0.786 ,    0.634 ,    0.494 ,    0.374 ,    0.273 ,    0.587 ,    0.438
    model-42320 ,    0.778 ,    0.625 ,    0.486 ,    0.369 ,    0.273 ,    0.584 ,    0.438
    model-43556 ,    0.787 ,    0.631 ,    0.489 ,    0.369 ,    0.276 ,    0.586 ,    0.435
    model-44356 ,    0.783 ,    0.629 ,    0.488 ,    0.369 ,    0.275 ,    0.586 ,    0.444
    model-45592 ,    0.781 ,    0.625 ,    0.481 ,    0.361 ,    0.274 ,    0.582 ,    0.434
    model-46392 ,    0.785 ,    0.631 ,    0.491 ,    0.372 ,    0.276 ,    0.588 ,    0.444
    model-47628 ,    0.784 ,    0.630 ,    0.488 ,    0.368 ,    0.275 ,    0.584 ,    0.442
    model-48428 ,    0.784 ,    0.626 ,    0.482 ,    0.362 ,    0.274 ,    0.586 ,    0.443
    model-49664 ,    0.783 ,    0.628 ,    0.485 ,    0.365 ,    0.276 ,    0.585 ,    0.440
    model-50464 ,    0.778 ,    0.627 ,    0.489 ,    0.371 ,    0.274 ,    0.586 ,    0.443
    model-51700 ,    0.783 ,    0.628 ,    0.483 ,    0.361 ,    0.273 ,    0.583 ,    0.434
    model-52500 ,    0.784 ,    0.632 ,    0.493 ,    0.376 ,    0.274 ,    0.588 ,    0.441
    model-53736 ,    0.777 ,    0.621 ,    0.479 ,    0.362 ,    0.274 ,    0.583 ,    0.436
    model-54536 ,    0.785 ,    0.636 ,    0.499 ,    0.380 ,    0.276 ,    0.590 ,    0.445
    model-55772 ,    0.779 ,    0.623 ,    0.481 ,    0.362 ,    0.272 ,    0.580 ,    0.432
    model-56572 ,    0.785 ,    0.630 ,    0.487 ,    0.367 ,    0.275 ,    0.585 ,    0.443
    model-57808 ,    0.782 ,    0.625 ,    0.483 ,    0.364 ,    0.272 ,    0.583 ,    0.437
    model-58608 ,    0.784 ,    0.628 ,    0.485 ,    0.365 ,    0.275 ,    0.585 ,    0.442
    model-59844 ,    0.779 ,    0.621 ,    0.478 ,    0.360 ,    0.273 ,    0.580 ,    0.433
    model-60644 ,    0.783 ,    0.626 ,    0.483 ,    0.364 ,    0.275 ,    0.582 ,    0.437
    model-61080 ,    0.781 ,    0.625 ,    0.482 ,    0.364 ,    0.274 ,    0.581 ,    0.432
