          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
     model-1000 ,    0.502 ,    0.234 ,    0.107 ,    0.030 ,    0.127 ,    0.383 ,    0.035
     model-2000 ,    0.563 ,    0.313 ,    0.173 ,    0.070 ,    0.145 ,    0.429 ,    0.068
     model-3036 ,    0.662 ,    0.429 ,    0.264 ,    0.136 ,    0.169 ,    0.483 ,    0.120
     model-4036 ,    0.689 ,    0.512 ,    0.361 ,    0.233 ,    0.201 ,    0.524 ,    0.205
     model-5072 ,    0.718 ,    0.552 ,    0.407 ,    0.287 ,    0.221 ,    0.544 ,    0.269
     model-6072 ,    0.733 ,    0.574 ,    0.437 ,    0.321 ,    0.237 ,    0.557 ,    0.316
     model-7108 ,    0.729 ,    0.570 ,    0.432 ,    0.318 ,    0.237 ,    0.552 ,    0.324
     model-8108 ,    0.744 ,    0.588 ,    0.449 ,    0.332 ,    0.243 ,    0.561 ,    0.348
     model-9144 ,    0.733 ,    0.584 ,    0.451 ,    0.334 ,    0.245 ,    0.565 ,    0.348
    model-10144 ,    0.752 ,    0.595 ,    0.455 ,    0.338 ,    0.250 ,    0.564 ,    0.364
    model-11180 ,    0.725 ,    0.575 ,    0.441 ,    0.326 ,    0.243 ,    0.558 ,    0.344
    model-12180 ,    0.729 ,    0.583 ,    0.453 ,    0.337 ,    0.246 ,    0.568 ,    0.367
    model-13216 ,    0.701 ,    0.558 ,    0.435 ,    0.329 ,    0.242 ,    0.556 ,    0.354
    model-14216 ,    0.746 ,    0.597 ,    0.461 ,    0.342 ,    0.252 ,    0.570 ,    0.370
    model-15252 ,    0.738 ,    0.594 ,    0.464 ,    0.348 ,    0.250 ,    0.571 ,    0.376
    model-16252 ,    0.749 ,    0.596 ,    0.460 ,    0.344 ,    0.251 ,    0.567 ,    0.382
    model-17288 ,    0.723 ,    0.570 ,    0.438 ,    0.327 ,    0.243 ,    0.555 ,    0.354
    model-18288 ,    0.733 ,    0.576 ,    0.437 ,    0.320 ,    0.245 ,    0.557 ,    0.352
    model-19324 ,    0.727 ,    0.572 ,    0.437 ,    0.323 ,    0.246 ,    0.556 ,    0.359
    model-20324 ,    0.744 ,    0.591 ,    0.457 ,    0.339 ,    0.251 ,    0.568 ,    0.372
    model-21360 ,    0.726 ,    0.577 ,    0.445 ,    0.329 ,    0.243 ,    0.555 ,    0.363
    model-22360 ,    0.736 ,    0.578 ,    0.436 ,    0.318 ,    0.245 ,    0.554 ,    0.343
    model-23396 ,    0.727 ,    0.572 ,    0.436 ,    0.319 ,    0.242 ,    0.552 ,    0.336
    model-24396 ,    0.734 ,    0.581 ,    0.444 ,    0.326 ,    0.248 ,    0.559 ,    0.361
    model-25432 ,    0.729 ,    0.579 ,    0.447 ,    0.333 ,    0.246 ,    0.560 ,    0.357
    model-26432 ,    0.735 ,    0.584 ,    0.453 ,    0.341 ,    0.251 ,    0.563 ,    0.362
    model-27468 ,    0.712 ,    0.566 ,    0.439 ,    0.326 ,    0.240 ,    0.553 ,    0.336
    model-28468 ,    0.738 ,    0.570 ,    0.424 ,    0.303 ,    0.246 ,    0.551 ,    0.356
    model-29504 ,    0.740 ,    0.574 ,    0.430 ,    0.313 ,    0.248 ,    0.557 ,    0.359
    model-30504 ,    0.732 ,    0.575 ,    0.439 ,    0.327 ,    0.248 ,    0.559 ,    0.361
    model-31540 ,    0.728 ,    0.563 ,    0.423 ,    0.311 ,    0.247 ,    0.554 ,    0.350
    model-32540 ,    0.734 ,    0.574 ,    0.434 ,    0.319 ,    0.248 ,    0.558 ,    0.362
    model-33576 ,    0.734 ,    0.571 ,    0.430 ,    0.312 ,    0.246 ,    0.555 ,    0.349
    model-34576 ,    0.733 ,    0.575 ,    0.440 ,    0.328 ,    0.248 ,    0.557 ,    0.360
    model-35612 ,    0.722 ,    0.567 ,    0.434 ,    0.319 ,    0.240 ,    0.554 ,    0.340
    model-36612 ,    0.731 ,    0.566 ,    0.423 ,    0.307 ,    0.247 ,    0.553 ,    0.356
    model-37648 ,    0.732 ,    0.567 ,    0.425 ,    0.310 ,    0.247 ,    0.550 ,    0.351
    model-38648 ,    0.719 ,    0.560 ,    0.424 ,    0.311 ,    0.241 ,    0.549 ,    0.343
    model-39684 ,    0.720 ,    0.559 ,    0.420 ,    0.304 ,    0.243 ,    0.551 ,    0.343
    model-40684 ,    0.732 ,    0.566 ,    0.425 ,    0.308 ,    0.248 ,    0.553 ,    0.364
    model-41720 ,    0.728 ,    0.564 ,    0.423 ,    0.311 ,    0.244 ,    0.551 ,    0.347
    model-42720 ,    0.728 ,    0.566 ,    0.427 ,    0.311 ,    0.245 ,    0.549 ,    0.349
