          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
     model-2636 ,    0.764 ,    0.611 ,    0.475 ,    0.358 ,    0.263 ,    0.580 ,    0.389
     model-5572 ,    0.777 ,    0.622 ,    0.482 ,    0.363 ,    0.272 ,    0.583 ,    0.424
     model-7608 ,    0.781 ,    0.629 ,    0.491 ,    0.374 ,    0.272 ,    0.583 ,    0.427
    model-12816 ,    0.779 ,    0.622 ,    0.482 ,    0.364 ,    0.274 ,    0.582 ,    0.424
    model-18088 ,    0.774 ,    0.616 ,    0.476 ,    0.358 ,    0.274 ,    0.579 ,    0.421
    model-18624 ,    0.770 ,    0.614 ,    0.475 ,    0.358 ,    0.270 ,    0.577 ,    0.422
