          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
      model-500 ,    0.701 ,    0.523 ,    0.385 ,    0.265 ,    0.221 ,    0.538 ,    0.191
     model-1000 ,    0.731 ,    0.559 ,    0.420 ,    0.302 ,    0.237 ,    0.555 ,    0.264
     model-1500 ,    0.732 ,    0.570 ,    0.437 ,    0.324 ,    0.239 ,    0.558 ,    0.298
     model-2000 ,    0.761 ,    0.599 ,    0.461 ,    0.346 ,    0.250 ,    0.569 ,    0.340
     model-2536 ,    0.770 ,    0.609 ,    0.471 ,    0.355 ,    0.258 ,    0.578 ,    0.360
     model-3036 ,    0.770 ,    0.614 ,    0.476 ,    0.359 ,    0.263 ,    0.580 ,    0.371
     model-3536 ,    0.779 ,    0.629 ,    0.490 ,    0.368 ,    0.266 ,    0.586 ,    0.395
     model-4036 ,    0.771 ,    0.621 ,    0.488 ,    0.372 ,    0.268 ,    0.587 ,    0.399
     model-4572 ,    0.777 ,    0.626 ,    0.492 ,    0.373 ,    0.265 ,    0.586 ,    0.410
     model-5072 ,    0.772 ,    0.622 ,    0.485 ,    0.368 ,    0.269 ,    0.582 ,    0.413
     model-5572 ,    0.786 ,    0.634 ,    0.496 ,    0.375 ,    0.272 ,    0.590 ,    0.419
     model-6072 ,    0.782 ,    0.637 ,    0.502 ,    0.384 ,    0.273 ,    0.593 ,    0.432
     model-6608 ,    0.786 ,    0.636 ,    0.497 ,    0.378 ,    0.274 ,    0.594 ,    0.427
     model-7108 ,    0.790 ,    0.639 ,    0.500 ,    0.383 ,    0.275 ,    0.594 ,    0.435
     model-7608 ,    0.783 ,    0.627 ,    0.487 ,    0.369 ,    0.272 ,    0.586 ,    0.428
     model-8108 ,    0.790 ,    0.642 ,    0.503 ,    0.383 ,    0.275 ,    0.594 ,    0.444
     model-8644 ,    0.784 ,    0.635 ,    0.497 ,    0.378 ,    0.273 ,    0.593 ,    0.437
     model-9144 ,    0.786 ,    0.637 ,    0.499 ,    0.379 ,    0.274 ,    0.594 ,    0.443
     model-9644 ,    0.784 ,    0.628 ,    0.485 ,    0.367 ,    0.276 ,    0.588 ,    0.432
    model-10144 ,    0.777 ,    0.636 ,    0.504 ,    0.390 ,    0.274 ,    0.593 ,    0.451
    model-10680 ,    0.787 ,    0.640 ,    0.502 ,    0.381 ,    0.278 ,    0.590 ,    0.443
    model-11180 ,    0.784 ,    0.637 ,    0.500 ,    0.383 ,    0.275 ,    0.592 ,    0.442
    model-11680 ,    0.795 ,    0.648 ,    0.511 ,    0.394 ,    0.280 ,    0.598 ,    0.460
    model-12180 ,    0.792 ,    0.643 ,    0.505 ,    0.385 ,    0.278 ,    0.593 ,    0.453
    model-12716 ,    0.788 ,    0.636 ,    0.500 ,    0.385 ,    0.276 ,    0.590 ,    0.454
    model-13216 ,    0.788 ,    0.639 ,    0.499 ,    0.380 ,    0.277 ,    0.592 ,    0.441
    model-13716 ,    0.789 ,    0.637 ,    0.498 ,    0.380 ,    0.279 ,    0.593 ,    0.458
    model-14216 ,    0.792 ,    0.645 ,    0.507 ,    0.389 ,    0.279 ,    0.597 ,    0.458
    model-14752 ,    0.788 ,    0.637 ,    0.499 ,    0.381 ,    0.277 ,    0.591 ,    0.446
    model-15252 ,    0.790 ,    0.640 ,    0.502 ,    0.383 ,    0.279 ,    0.594 ,    0.452
    model-15752 ,    0.786 ,    0.633 ,    0.493 ,    0.375 ,    0.278 ,    0.591 ,    0.451
    model-16252 ,    0.789 ,    0.637 ,    0.495 ,    0.376 ,    0.278 ,    0.593 ,    0.445
    model-16788 ,    0.785 ,    0.633 ,    0.492 ,    0.373 ,    0.276 ,    0.586 ,    0.437
    model-17288 ,    0.792 ,    0.635 ,    0.489 ,    0.370 ,    0.279 ,    0.590 ,    0.456
    model-17788 ,    0.786 ,    0.635 ,    0.497 ,    0.379 ,    0.277 ,    0.590 ,    0.444
    model-18288 ,    0.786 ,    0.631 ,    0.487 ,    0.367 ,    0.276 ,    0.588 ,    0.440
    model-18788 ,    0.790 ,    0.640 ,    0.498 ,    0.377 ,    0.278 ,    0.590 ,    0.444
    model-19288 ,    0.778 ,    0.626 ,    0.487 ,    0.370 ,    0.275 ,    0.584 ,    0.441
    model-19824 ,    0.787 ,    0.638 ,    0.500 ,    0.381 ,    0.279 ,    0.596 ,    0.462
    model-20324 ,    0.786 ,    0.638 ,    0.499 ,    0.380 ,    0.278 ,    0.593 ,    0.455
    model-20824 ,    0.784 ,    0.630 ,    0.490 ,    0.371 ,    0.274 ,    0.587 ,    0.443
    model-21324 ,    0.790 ,    0.636 ,    0.492 ,    0.371 ,    0.278 ,    0.589 ,    0.445
    model-21860 ,    0.787 ,    0.633 ,    0.493 ,    0.375 ,    0.276 ,    0.590 ,    0.451
    model-22360 ,    0.784 ,    0.628 ,    0.485 ,    0.368 ,    0.275 ,    0.581 ,    0.443
    model-22860 ,    0.789 ,    0.640 ,    0.502 ,    0.383 ,    0.278 ,    0.592 ,    0.449
    model-23360 ,    0.790 ,    0.641 ,    0.500 ,    0.380 ,    0.279 ,    0.593 ,    0.450
    model-23896 ,    0.788 ,    0.632 ,    0.488 ,    0.367 ,    0.277 ,    0.587 ,    0.448
    model-24396 ,    0.786 ,    0.634 ,    0.495 ,    0.374 ,    0.278 ,    0.588 ,    0.442
    model-24896 ,    0.791 ,    0.636 ,    0.492 ,    0.371 ,    0.281 ,    0.589 ,    0.446
    model-25396 ,    0.787 ,    0.631 ,    0.490 ,    0.373 ,    0.279 ,    0.590 ,    0.454
