          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
      model-500 ,    0.660 ,    0.489 ,    0.355 ,    0.239 ,    0.219 ,    0.530 ,    0.193
     model-1000 ,    0.732 ,    0.565 ,    0.421 ,    0.296 ,    0.236 ,    0.560 ,    0.256
     model-1500 ,    0.750 ,    0.588 ,    0.448 ,    0.329 ,    0.250 ,    0.576 ,    0.331
     model-2000 ,    0.759 ,    0.599 ,    0.459 ,    0.336 ,    0.254 ,    0.581 ,    0.346
     model-2536 ,    0.766 ,    0.614 ,    0.477 ,    0.356 ,    0.257 ,    0.587 ,    0.379
     model-3036 ,    0.762 ,    0.602 ,    0.461 ,    0.339 ,    0.253 ,    0.579 ,    0.359
     model-3536 ,    0.769 ,    0.613 ,    0.473 ,    0.350 ,    0.258 ,    0.581 ,    0.375
     model-4036 ,    0.772 ,    0.621 ,    0.481 ,    0.357 ,    0.262 ,    0.589 ,    0.396
     model-4572 ,    0.775 ,    0.621 ,    0.479 ,    0.356 ,    0.262 ,    0.587 ,    0.397
     model-5072 ,    0.768 ,    0.614 ,    0.474 ,    0.352 ,    0.258 ,    0.584 ,    0.391
     model-5572 ,    0.776 ,    0.624 ,    0.485 ,    0.363 ,    0.263 ,    0.586 ,    0.399
     model-6072 ,    0.785 ,    0.629 ,    0.484 ,    0.359 ,    0.264 ,    0.587 ,    0.408
     model-6608 ,    0.777 ,    0.622 ,    0.478 ,    0.355 ,    0.264 ,    0.584 ,    0.406
     model-7108 ,    0.780 ,    0.625 ,    0.481 ,    0.359 ,    0.265 ,    0.587 ,    0.419
     model-7608 ,    0.781 ,    0.626 ,    0.482 ,    0.358 ,    0.263 ,    0.585 ,    0.415
     model-8108 ,    0.782 ,    0.635 ,    0.495 ,    0.373 ,    0.267 ,    0.590 ,    0.421
     model-8644 ,    0.776 ,    0.625 ,    0.482 ,    0.357 ,    0.261 ,    0.583 ,    0.405
     model-9144 ,    0.774 ,    0.617 ,    0.472 ,    0.347 ,    0.262 ,    0.579 ,    0.399
     model-9644 ,    0.777 ,    0.619 ,    0.473 ,    0.350 ,    0.265 ,    0.581 ,    0.411
    model-10144 ,    0.780 ,    0.624 ,    0.481 ,    0.359 ,    0.266 ,    0.586 ,    0.412
    model-10680 ,    0.780 ,    0.622 ,    0.476 ,    0.354 ,    0.264 ,    0.579 ,    0.412
    model-11180 ,    0.776 ,    0.625 ,    0.484 ,    0.362 ,    0.266 ,    0.589 ,    0.422
    model-11680 ,    0.781 ,    0.627 ,    0.485 ,    0.363 ,    0.268 ,    0.585 ,    0.419
    model-12180 ,    0.773 ,    0.613 ,    0.469 ,    0.346 ,    0.262 ,    0.576 ,    0.399
    model-12716 ,    0.780 ,    0.624 ,    0.477 ,    0.352 ,    0.263 ,    0.580 ,    0.408
    model-13216 ,    0.775 ,    0.620 ,    0.477 ,    0.355 ,    0.261 ,    0.579 ,    0.408
    model-13716 ,    0.777 ,    0.618 ,    0.473 ,    0.350 ,    0.263 ,    0.581 ,    0.409
    model-14216 ,    0.780 ,    0.618 ,    0.471 ,    0.348 ,    0.263 ,    0.578 ,    0.409
    model-14752 ,    0.776 ,    0.620 ,    0.476 ,    0.352 ,    0.265 ,    0.581 ,    0.406
    model-15252 ,    0.779 ,    0.625 ,    0.481 ,    0.358 ,    0.263 ,    0.580 ,    0.411
    model-15752 ,    0.782 ,    0.622 ,    0.475 ,    0.351 ,    0.263 ,    0.579 ,    0.409
    model-16252 ,    0.781 ,    0.622 ,    0.474 ,    0.350 ,    0.263 ,    0.579 ,    0.399
    model-16788 ,    0.771 ,    0.606 ,    0.457 ,    0.335 ,    0.262 ,    0.575 ,    0.401
    model-17288 ,    0.778 ,    0.619 ,    0.473 ,    0.348 ,    0.263 ,    0.580 ,    0.409
    model-17788 ,    0.777 ,    0.615 ,    0.469 ,    0.347 ,    0.265 ,    0.580 ,    0.418
    model-18288 ,    0.776 ,    0.622 ,    0.481 ,    0.361 ,    0.265 ,    0.583 ,    0.425
    model-18824 ,    0.779 ,    0.622 ,    0.478 ,    0.354 ,    0.264 ,    0.583 ,    0.413
    model-19324 ,    0.774 ,    0.616 ,    0.473 ,    0.354 ,    0.261 ,    0.576 ,    0.407
    model-19824 ,    0.777 ,    0.620 ,    0.476 ,    0.355 ,    0.266 ,    0.583 ,    0.423
    model-20324 ,    0.778 ,    0.616 ,    0.471 ,    0.347 ,    0.261 ,    0.580 ,    0.411
    model-20360 ,    0.781 ,    0.621 ,    0.474 ,    0.349 ,    0.263 ,    0.580 ,    0.410
