          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
    model-48828 ,    0.781 ,    0.625 ,    0.484 ,    0.366 ,    0.274 ,    0.582 ,    0.435
    model-49864 ,    0.781 ,    0.624 ,    0.479 ,    0.358 ,    0.275 ,    0.583 ,    0.427
    model-50864 ,    0.782 ,    0.625 ,    0.481 ,    0.360 ,    0.275 ,    0.579 ,    0.424
    model-51900 ,    0.783 ,    0.625 ,    0.482 ,    0.363 ,    0.277 ,    0.582 ,    0.423
    model-52900 ,    0.785 ,    0.632 ,    0.493 ,    0.376 ,    0.277 ,    0.588 ,    0.439
    model-53936 ,    0.779 ,    0.621 ,    0.479 ,    0.361 ,    0.273 ,    0.578 ,    0.426
    model-54936 ,    0.780 ,    0.623 ,    0.479 ,    0.360 ,    0.274 ,    0.582 ,    0.431
    model-55972 ,    0.782 ,    0.628 ,    0.487 ,    0.368 ,    0.277 ,    0.585 ,    0.433
    model-56972 ,    0.777 ,    0.617 ,    0.471 ,    0.351 ,    0.270 ,    0.575 ,    0.420
    model-58008 ,    0.784 ,    0.625 ,    0.480 ,    0.360 ,    0.273 ,    0.583 ,    0.430
    model-59008 ,    0.781 ,    0.624 ,    0.482 ,    0.363 ,    0.274 ,    0.580 ,    0.429
    model-60044 ,    0.782 ,    0.626 ,    0.485 ,    0.366 ,    0.275 ,    0.581 ,    0.427
    model-61044 ,    0.782 ,    0.626 ,    0.484 ,    0.365 ,    0.275 ,    0.584 ,    0.436
    model-62080 ,    0.781 ,    0.621 ,    0.478 ,    0.360 ,    0.275 ,    0.582 ,    0.432
    model-63080 ,    0.782 ,    0.621 ,    0.475 ,    0.354 ,    0.274 ,    0.577 ,    0.421
    model-64116 ,    0.778 ,    0.618 ,    0.473 ,    0.355 ,    0.273 ,    0.576 ,    0.421
    model-65116 ,    0.779 ,    0.621 ,    0.479 ,    0.360 ,    0.273 ,    0.580 ,    0.425
    model-66152 ,    0.779 ,    0.622 ,    0.479 ,    0.360 ,    0.275 ,    0.578 ,    0.426
    model-67152 ,    0.776 ,    0.621 ,    0.480 ,    0.362 ,    0.274 ,    0.580 ,    0.424
    model-68188 ,    0.778 ,    0.619 ,    0.477 ,    0.361 ,    0.275 ,    0.578 ,    0.423
    model-69188 ,    0.783 ,    0.623 ,    0.480 ,    0.361 ,    0.275 ,    0.582 ,    0.426
    model-70224 ,    0.779 ,    0.619 ,    0.474 ,    0.355 ,    0.273 ,    0.577 ,    0.414
    model-71224 ,    0.778 ,    0.621 ,    0.480 ,    0.361 ,    0.273 ,    0.579 ,    0.422
    model-72260 ,    0.777 ,    0.616 ,    0.472 ,    0.354 ,    0.274 ,    0.578 ,    0.421
    model-73260 ,    0.783 ,    0.623 ,    0.479 ,    0.360 ,    0.275 ,    0.579 ,    0.424
    model-74296 ,    0.777 ,    0.619 ,    0.477 ,    0.359 ,    0.275 ,    0.579 ,    0.422
    model-75296 ,    0.780 ,    0.624 ,    0.483 ,    0.363 ,    0.274 ,    0.583 ,    0.427
    model-76332 ,    0.779 ,    0.619 ,    0.475 ,    0.356 ,    0.273 ,    0.575 ,    0.415
    model-77332 ,    0.784 ,    0.623 ,    0.480 ,    0.360 ,    0.274 ,    0.580 ,    0.421
    model-78368 ,    0.778 ,    0.617 ,    0.472 ,    0.353 ,    0.275 ,    0.577 ,    0.414
    model-79368 ,    0.781 ,    0.619 ,    0.471 ,    0.348 ,    0.273 ,    0.575 ,    0.419
    model-80404 ,    0.777 ,    0.616 ,    0.472 ,    0.354 ,    0.273 ,    0.576 ,    0.413
    model-81404 ,    0.779 ,    0.624 ,    0.483 ,    0.365 ,    0.273 ,    0.582 ,    0.433
    model-81440 ,    0.778 ,    0.617 ,    0.474 ,    0.354 ,    0.270 ,    0.576 ,    0.421
