          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
     model-1000 ,    0.728 ,    0.556 ,    0.417 ,    0.296 ,    0.236 ,    0.556 ,    0.260
     model-2000 ,    0.759 ,    0.596 ,    0.458 ,    0.341 ,    0.248 ,    0.572 ,    0.328
     model-3036 ,    0.769 ,    0.616 ,    0.480 ,    0.363 ,    0.261 ,    0.583 ,    0.374
     model-4036 ,    0.761 ,    0.614 ,    0.485 ,    0.373 ,    0.264 ,    0.587 ,    0.381
     model-4072 ,    0.778 ,    0.621 ,    0.479 ,    0.358 ,    0.265 ,    0.584 ,    0.398
     model-5072 ,    0.776 ,    0.624 ,    0.488 ,    0.369 ,    0.266 ,    0.589 ,    0.407
     model-6072 ,    0.772 ,    0.618 ,    0.483 ,    0.366 ,    0.268 ,    0.582 ,    0.416
     model-7108 ,    0.782 ,    0.635 ,    0.499 ,    0.378 ,    0.271 ,    0.592 ,    0.432
     model-8108 ,    0.787 ,    0.635 ,    0.496 ,    0.378 ,    0.272 ,    0.591 ,    0.430
     model-9144 ,    0.787 ,    0.641 ,    0.506 ,    0.389 ,    0.273 ,    0.595 ,    0.442
    model-10144 ,    0.790 ,    0.639 ,    0.500 ,    0.381 ,    0.274 ,    0.591 ,    0.442
    model-11180 ,    0.792 ,    0.638 ,    0.497 ,    0.377 ,    0.277 ,    0.591 ,    0.449
    model-12180 ,    0.786 ,    0.637 ,    0.497 ,    0.377 ,    0.277 ,    0.592 ,    0.444
    model-13216 ,    0.786 ,    0.636 ,    0.496 ,    0.377 ,    0.276 ,    0.593 ,    0.447
    model-14216 ,    0.788 ,    0.636 ,    0.494 ,    0.374 ,    0.276 ,    0.588 ,    0.433
    model-15252 ,    0.785 ,    0.632 ,    0.491 ,    0.373 ,    0.275 ,    0.587 ,    0.442
    model-16252 ,    0.783 ,    0.631 ,    0.492 ,    0.374 ,    0.275 ,    0.589 ,    0.449
    model-17288 ,    0.783 ,    0.633 ,    0.494 ,    0.377 ,    0.278 ,    0.587 ,    0.448
    model-18288 ,    0.788 ,    0.638 ,    0.497 ,    0.379 ,    0.277 ,    0.591 ,    0.446
    model-19324 ,    0.783 ,    0.634 ,    0.494 ,    0.377 ,    0.277 ,    0.588 ,    0.446
    model-20324 ,    0.785 ,    0.638 ,    0.502 ,    0.384 ,    0.275 ,    0.591 ,    0.453
    model-21360 ,    0.789 ,    0.634 ,    0.492 ,    0.372 ,    0.276 ,    0.587 ,    0.445
    model-22360 ,    0.789 ,    0.636 ,    0.496 ,    0.377 ,    0.276 ,    0.589 ,    0.452
    model-23396 ,    0.787 ,    0.629 ,    0.484 ,    0.365 ,    0.277 ,    0.586 ,    0.451
    model-24396 ,    0.787 ,    0.636 ,    0.494 ,    0.373 ,    0.275 ,    0.587 ,    0.442
    model-25432 ,    0.781 ,    0.629 ,    0.489 ,    0.372 ,    0.275 ,    0.584 ,    0.445
    model-26432 ,    0.783 ,    0.631 ,    0.490 ,    0.372 ,    0.276 ,    0.588 ,    0.443
    model-27468 ,    0.794 ,    0.640 ,    0.496 ,    0.376 ,    0.279 ,    0.589 ,    0.449
    model-28468 ,    0.790 ,    0.634 ,    0.493 ,    0.374 ,    0.278 ,    0.587 ,    0.445
    model-29504 ,    0.789 ,    0.637 ,    0.498 ,    0.378 ,    0.277 ,    0.591 ,    0.447
    model-30504 ,    0.789 ,    0.636 ,    0.494 ,    0.374 ,    0.276 ,    0.589 ,    0.444
    model-31540 ,    0.788 ,    0.636 ,    0.495 ,    0.375 ,    0.277 ,    0.587 ,    0.446
    model-32540 ,    0.786 ,    0.629 ,    0.486 ,    0.366 ,    0.278 ,    0.586 ,    0.442
    model-33576 ,    0.785 ,    0.630 ,    0.489 ,    0.372 ,    0.275 ,    0.586 ,    0.444
    model-34576 ,    0.786 ,    0.629 ,    0.485 ,    0.363 ,    0.275 ,    0.583 ,    0.440
    model-35612 ,    0.785 ,    0.628 ,    0.483 ,    0.362 ,    0.275 ,    0.584 ,    0.430
    model-36612 ,    0.784 ,    0.628 ,    0.485 ,    0.367 ,    0.276 ,    0.585 ,    0.438
    model-37648 ,    0.779 ,    0.622 ,    0.478 ,    0.358 ,    0.274 ,    0.580 ,    0.433
    model-38648 ,    0.784 ,    0.631 ,    0.491 ,    0.371 ,    0.275 ,    0.584 ,    0.439
    model-39684 ,    0.783 ,    0.624 ,    0.480 ,    0.360 ,    0.274 ,    0.580 ,    0.430
    model-40684 ,    0.784 ,    0.627 ,    0.486 ,    0.368 ,    0.275 ,    0.584 ,    0.441
    model-40720 ,    0.784 ,    0.631 ,    0.491 ,    0.372 ,    0.275 ,    0.586 ,    0.433
    model-41720 ,    0.785 ,    0.626 ,    0.482 ,    0.362 ,    0.272 ,    0.580 ,    0.425
    model-42720 ,    0.784 ,    0.628 ,    0.487 ,    0.367 ,    0.276 ,    0.585 ,    0.436
    model-43756 ,    0.782 ,    0.626 ,    0.484 ,    0.365 ,    0.276 ,    0.585 ,    0.434
    model-44756 ,    0.783 ,    0.626 ,    0.484 ,    0.365 ,    0.275 ,    0.581 ,    0.428
    model-45792 ,    0.784 ,    0.625 ,    0.483 ,    0.364 ,    0.274 ,    0.582 ,    0.432
    model-46792 ,    0.782 ,    0.628 ,    0.489 ,    0.371 ,    0.276 ,    0.587 ,    0.441
    model-47828 ,    0.781 ,    0.624 ,    0.482 ,    0.362 ,    0.273 ,    0.582 ,    0.433
