          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
      model-800 ,    0.669 ,    0.487 ,    0.326 ,    0.123 ,    0.162 ,    0.504 ,    0.038
     model-1600 ,    0.593 ,    0.463 ,    0.359 ,    0.255 ,    0.188 ,    0.500 ,    0.100
     model-2836 ,    0.730 ,    0.558 ,    0.418 ,    0.298 ,    0.231 ,    0.555 ,    0.232
     model-3636 ,    0.739 ,    0.571 ,    0.433 ,    0.315 ,    0.236 ,    0.563 ,    0.260
     model-4872 ,    0.750 ,    0.588 ,    0.451 ,    0.334 ,    0.244 ,    0.570 ,    0.298
     model-5672 ,    0.745 ,    0.586 ,    0.452 ,    0.335 ,    0.243 ,    0.569 ,    0.314
     model-6908 ,    0.751 ,    0.599 ,    0.465 ,    0.348 ,    0.249 ,    0.578 ,    0.347
     model-7708 ,    0.753 ,    0.603 ,    0.467 ,    0.349 ,    0.252 ,    0.581 ,    0.356
     model-8944 ,    0.748 ,    0.606 ,    0.475 ,    0.359 ,    0.253 ,    0.583 ,    0.366
     model-9744 ,    0.752 ,    0.610 ,    0.480 ,    0.365 ,    0.253 ,    0.583 ,    0.380
    model-10980 ,    0.761 ,    0.619 ,    0.484 ,    0.364 ,    0.259 ,    0.588 ,    0.388
    model-11780 ,    0.763 ,    0.624 ,    0.493 ,    0.377 ,    0.261 ,    0.591 ,    0.405
    model-13016 ,    0.762 ,    0.619 ,    0.486 ,    0.368 ,    0.260 ,    0.586 ,    0.407
    model-13816 ,    0.762 ,    0.625 ,    0.496 ,    0.380 ,    0.262 ,    0.592 ,    0.416
    model-15052 ,    0.759 ,    0.626 ,    0.495 ,    0.380 ,    0.264 ,    0.593 ,    0.420
    model-15852 ,    0.759 ,    0.626 ,    0.498 ,    0.384 ,    0.264 ,    0.593 ,    0.419
    model-17088 ,    0.768 ,    0.631 ,    0.499 ,    0.382 ,    0.266 ,    0.595 ,    0.425
    model-17888 ,    0.766 ,    0.629 ,    0.497 ,    0.378 ,    0.265 ,    0.593 ,    0.422
