          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
    model-19124 ,    0.772 ,    0.637 ,    0.507 ,    0.392 ,    0.268 ,    0.598 ,    0.432
    model-19924 ,    0.755 ,    0.622 ,    0.495 ,    0.382 ,    0.264 ,    0.592 ,    0.421
    model-21160 ,    0.767 ,    0.632 ,    0.502 ,    0.386 ,    0.267 ,    0.593 ,    0.430
    model-21960 ,    0.766 ,    0.629 ,    0.499 ,    0.384 ,    0.265 ,    0.593 ,    0.426
    model-23196 ,    0.763 ,    0.623 ,    0.492 ,    0.376 ,    0.265 ,    0.589 ,    0.430
    model-23996 ,    0.775 ,    0.636 ,    0.503 ,    0.382 ,    0.269 ,    0.595 ,    0.436
    model-25232 ,    0.769 ,    0.628 ,    0.496 ,    0.381 ,    0.266 ,    0.591 ,    0.425
    model-26032 ,    0.770 ,    0.630 ,    0.499 ,    0.383 ,    0.266 ,    0.594 ,    0.430
    model-27268 ,    0.769 ,    0.630 ,    0.500 ,    0.386 ,    0.268 ,    0.596 ,    0.435
    model-28068 ,    0.768 ,    0.633 ,    0.503 ,    0.386 ,    0.268 ,    0.593 ,    0.432
    model-29304 ,    0.767 ,    0.627 ,    0.496 ,    0.380 ,    0.266 ,    0.588 ,    0.431
    model-30104 ,    0.770 ,    0.633 ,    0.503 ,    0.386 ,    0.266 ,    0.591 ,    0.426
    model-31340 ,    0.765 ,    0.628 ,    0.501 ,    0.390 ,    0.265 ,    0.592 ,    0.429
    model-32140 ,    0.779 ,    0.632 ,    0.494 ,    0.376 ,    0.268 ,    0.592 ,    0.436
    model-33376 ,    0.782 ,    0.637 ,    0.500 ,    0.381 ,    0.271 ,    0.593 ,    0.437
    model-34176 ,    0.765 ,    0.629 ,    0.503 ,    0.390 ,    0.266 ,    0.592 ,    0.437
    model-35412 ,    0.773 ,    0.632 ,    0.501 ,    0.386 ,    0.266 ,    0.589 ,    0.433
    model-36212 ,    0.772 ,    0.636 ,    0.508 ,    0.393 ,    0.269 ,    0.593 ,    0.430
    model-37448 ,    0.770 ,    0.628 ,    0.496 ,    0.381 ,    0.265 ,    0.586 ,    0.427
    model-38248 ,    0.775 ,    0.637 ,    0.505 ,    0.388 ,    0.270 ,    0.595 ,    0.441
    model-39484 ,    0.773 ,    0.630 ,    0.496 ,    0.380 ,    0.267 ,    0.590 ,    0.436
    model-40284 ,    0.773 ,    0.633 ,    0.500 ,    0.385 ,    0.269 ,    0.592 ,    0.429
    model-41520 ,    0.775 ,    0.635 ,    0.504 ,    0.389 ,    0.268 ,    0.591 ,    0.442
    model-42320 ,    0.766 ,    0.628 ,    0.499 ,    0.385 ,    0.267 ,    0.590 ,    0.434
    model-43556 ,    0.772 ,    0.632 ,    0.498 ,    0.380 ,    0.265 ,    0.587 ,    0.427
    model-44356 ,    0.768 ,    0.627 ,    0.495 ,    0.380 ,    0.265 ,    0.588 ,    0.431
    model-45592 ,    0.771 ,    0.631 ,    0.501 ,    0.385 ,    0.267 ,    0.592 ,    0.435
    model-46392 ,    0.775 ,    0.634 ,    0.501 ,    0.384 ,    0.269 ,    0.591 ,    0.427
    model-47628 ,    0.768 ,    0.629 ,    0.498 ,    0.382 ,    0.266 ,    0.590 ,    0.426
    model-48428 ,    0.770 ,    0.632 ,    0.503 ,    0.389 ,    0.268 ,    0.594 ,    0.438
    model-49664 ,    0.764 ,    0.626 ,    0.496 ,    0.383 ,    0.266 ,    0.587 ,    0.426
    model-50464 ,    0.768 ,    0.630 ,    0.501 ,    0.389 ,    0.266 ,    0.589 ,    0.430
    model-51700 ,    0.767 ,    0.630 ,    0.501 ,    0.389 ,    0.267 ,    0.592 ,    0.434
    model-52500 ,    0.764 ,    0.632 ,    0.506 ,    0.392 ,    0.266 ,    0.592 ,    0.436
    model-53736 ,    0.765 ,    0.627 ,    0.497 ,    0.382 ,    0.266 ,    0.591 ,    0.428
    model-54536 ,    0.767 ,    0.625 ,    0.494 ,    0.380 ,    0.265 ,    0.591 ,    0.430
    model-55772 ,    0.773 ,    0.628 ,    0.493 ,    0.375 ,    0.269 ,    0.589 ,    0.425
    model-56572 ,    0.771 ,    0.626 ,    0.490 ,    0.372 ,    0.267 ,    0.589 ,    0.430
    model-57808 ,    0.766 ,    0.628 ,    0.499 ,    0.385 ,    0.266 ,    0.590 ,    0.424
    model-58608 ,    0.765 ,    0.628 ,    0.499 ,    0.384 ,    0.266 ,    0.591 ,    0.426
    model-59844 ,    0.772 ,    0.627 ,    0.491 ,    0.374 ,    0.266 ,    0.588 ,    0.426
    model-60644 ,    0.773 ,    0.631 ,    0.497 ,    0.378 ,    0.267 ,    0.591 ,    0.429
    model-61080 ,    0.767 ,    0.626 ,    0.495 ,    0.380 ,    0.265 ,    0.588 ,    0.429
