          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
     model-1000 ,    0.739 ,    0.566 ,    0.426 ,    0.310 ,    0.238 ,    0.560 ,    0.272
     model-2000 ,    0.757 ,    0.597 ,    0.462 ,    0.346 ,    0.251 ,    0.575 ,    0.342
     model-3036 ,    0.772 ,    0.616 ,    0.478 ,    0.360 ,    0.260 ,    0.583 ,    0.381
     model-4036 ,    0.778 ,    0.625 ,    0.487 ,    0.368 ,    0.267 ,    0.587 ,    0.408
     model-4072 ,    0.778 ,    0.621 ,    0.479 ,    0.358 ,    0.265 ,    0.584 ,    0.398
     model-6072 ,    0.791 ,    0.638 ,    0.494 ,    0.372 ,    0.273 ,    0.591 ,    0.424
     model-8108 ,    0.795 ,    0.640 ,    0.496 ,    0.371 ,    0.276 ,    0.592 ,    0.442
    model-10144 ,    0.789 ,    0.637 ,    0.499 ,    0.379 ,    0.273 ,    0.593 ,    0.449
    model-12180 ,    0.788 ,    0.641 ,    0.502 ,    0.382 ,    0.276 ,    0.594 ,    0.451
    model-14216 ,    0.790 ,    0.642 ,    0.503 ,    0.382 ,    0.276 ,    0.594 ,    0.452
    model-16252 ,    0.791 ,    0.639 ,    0.500 ,    0.382 ,    0.277 ,    0.594 ,    0.452
    model-18288 ,    0.790 ,    0.635 ,    0.493 ,    0.373 ,    0.277 ,    0.589 ,    0.449
    model-20324 ,    0.787 ,    0.631 ,    0.487 ,    0.366 ,    0.277 ,    0.587 ,    0.442
    model-22360 ,    0.787 ,    0.637 ,    0.499 ,    0.379 ,    0.277 ,    0.593 ,    0.451
    model-24396 ,    0.785 ,    0.628 ,    0.484 ,    0.364 ,    0.276 ,    0.586 ,    0.444
    model-26432 ,    0.788 ,    0.637 ,    0.499 ,    0.381 ,    0.276 ,    0.591 ,    0.449
    model-28468 ,    0.785 ,    0.631 ,    0.491 ,    0.373 ,    0.274 ,    0.584 ,    0.442
    model-30504 ,    0.784 ,    0.630 ,    0.489 ,    0.370 ,    0.274 ,    0.585 ,    0.448
    model-32540 ,    0.790 ,    0.632 ,    0.488 ,    0.367 ,    0.278 ,    0.589 ,    0.446
    model-34576 ,    0.784 ,    0.628 ,    0.486 ,    0.367 ,    0.275 ,    0.585 ,    0.439
    model-36612 ,    0.786 ,    0.632 ,    0.489 ,    0.369 ,    0.276 ,    0.586 ,    0.443
    model-38648 ,    0.786 ,    0.625 ,    0.482 ,    0.364 ,    0.275 ,    0.581 ,    0.433
    model-40684 ,    0.789 ,    0.633 ,    0.491 ,    0.371 ,    0.276 ,    0.586 ,    0.439
    model-40720 ,    0.784 ,    0.631 ,    0.491 ,    0.372 ,    0.275 ,    0.586 ,    0.433
