          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
      model-800 ,    0.712 ,    0.465 ,    0.301 ,    0.044 ,    0.160 ,    0.522 ,    0.034
     model-1600 ,    0.729 ,    0.482 ,    0.316 ,    0.126 ,    0.165 ,    0.533 ,    0.096
     model-2836 ,    0.695 ,    0.519 ,    0.370 ,    0.239 ,    0.210 ,    0.542 ,    0.206
     model-3636 ,    0.746 ,    0.597 ,    0.454 ,    0.329 ,    0.235 ,    0.579 ,    0.302
     model-4872 ,    0.768 ,    0.610 ,    0.463 ,    0.340 ,    0.246 ,    0.584 ,    0.346
     model-5672 ,    0.770 ,    0.617 ,    0.479 ,    0.358 ,    0.255 ,    0.588 ,    0.364
     model-6908 ,    0.776 ,    0.620 ,    0.481 ,    0.358 ,    0.258 ,    0.589 ,    0.375
     model-7708 ,    0.779 ,    0.627 ,    0.489 ,    0.366 ,    0.262 ,    0.591 ,    0.384
     model-8944 ,    0.782 ,    0.629 ,    0.488 ,    0.366 ,    0.266 ,    0.591 ,    0.402
     model-9744 ,    0.778 ,    0.627 ,    0.488 ,    0.365 ,    0.263 ,    0.587 ,    0.407
    model-10980 ,    0.782 ,    0.634 ,    0.495 ,    0.372 ,    0.266 ,    0.591 ,    0.406
    model-11780 ,    0.781 ,    0.630 ,    0.491 ,    0.371 ,    0.267 ,    0.587 ,    0.415
    model-13016 ,    0.778 ,    0.625 ,    0.485 ,    0.364 ,    0.268 ,    0.588 ,    0.428
    model-13816 ,    0.778 ,    0.628 ,    0.491 ,    0.370 ,    0.270 ,    0.588 ,    0.431
    model-15052 ,    0.772 ,    0.623 ,    0.487 ,    0.369 ,    0.269 ,    0.585 ,    0.425
    model-15852 ,    0.774 ,    0.623 ,    0.485 ,    0.366 ,    0.269 ,    0.583 ,    0.417
    model-17088 ,    0.777 ,    0.624 ,    0.485 ,    0.365 ,    0.272 ,    0.583 ,    0.426
    model-17888 ,    0.776 ,    0.627 ,    0.489 ,    0.369 ,    0.272 ,    0.588 ,    0.430
    model-19124 ,    0.773 ,    0.617 ,    0.475 ,    0.356 ,    0.270 ,    0.580 ,    0.423
    model-19924 ,    0.780 ,    0.630 ,    0.491 ,    0.370 ,    0.271 ,    0.587 ,    0.434
    model-21160 ,    0.773 ,    0.620 ,    0.483 ,    0.364 ,    0.268 ,    0.582 ,    0.430
    model-21960 ,    0.769 ,    0.618 ,    0.480 ,    0.361 ,    0.271 ,    0.582 ,    0.429
    model-23196 ,    0.779 ,    0.623 ,    0.481 ,    0.360 ,    0.270 ,    0.579 ,    0.429
    model-23996 ,    0.773 ,    0.625 ,    0.489 ,    0.372 ,    0.271 ,    0.588 ,    0.432
    model-25232 ,    0.774 ,    0.623 ,    0.485 ,    0.366 ,    0.272 ,    0.583 ,    0.430
    model-26032 ,    0.777 ,    0.625 ,    0.485 ,    0.364 ,    0.271 ,    0.584 ,    0.429
    model-27268 ,    0.772 ,    0.620 ,    0.481 ,    0.361 ,    0.269 ,    0.579 ,    0.429
    model-28068 ,    0.780 ,    0.626 ,    0.484 ,    0.364 ,    0.271 ,    0.583 ,    0.426
    model-29304 ,    0.775 ,    0.623 ,    0.485 ,    0.366 ,    0.272 ,    0.583 ,    0.431
    model-30104 ,    0.774 ,    0.622 ,    0.483 ,    0.363 ,    0.272 ,    0.581 ,    0.428
    model-31340 ,    0.774 ,    0.621 ,    0.481 ,    0.361 ,    0.270 ,    0.582 ,    0.423
    model-32140 ,    0.772 ,    0.618 ,    0.481 ,    0.363 ,    0.272 ,    0.580 ,    0.427
    model-33376 ,    0.774 ,    0.621 ,    0.483 ,    0.364 ,    0.272 ,    0.583 ,    0.427
    model-34176 ,    0.779 ,    0.630 ,    0.491 ,    0.371 ,    0.275 ,    0.586 ,    0.431
    model-35412 ,    0.776 ,    0.624 ,    0.486 ,    0.367 ,    0.272 ,    0.581 ,    0.434
    model-36212 ,    0.773 ,    0.617 ,    0.477 ,    0.359 ,    0.272 ,    0.582 ,    0.427
    model-37448 ,    0.776 ,    0.624 ,    0.485 ,    0.366 ,    0.272 ,    0.583 ,    0.429
    model-38248 ,    0.771 ,    0.620 ,    0.481 ,    0.362 ,    0.271 ,    0.582 ,    0.425
    model-39484 ,    0.775 ,    0.621 ,    0.481 ,    0.362 ,    0.271 ,    0.580 ,    0.424
    model-40284 ,    0.776 ,    0.620 ,    0.482 ,    0.364 ,    0.271 ,    0.582 ,    0.434
    model-40720 ,    0.773 ,    0.619 ,    0.482 ,    0.366 ,    0.271 ,    0.580 ,    0.430
