          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
     model-5872 ,    0.785 ,    0.626 ,    0.481 ,    0.358 ,    0.264 ,    0.583 ,    0.408
     model-6408 ,    0.781 ,    0.624 ,    0.482 ,    0.362 ,    0.265 ,    0.585 ,    0.408
     model-6708 ,    0.776 ,    0.623 ,    0.483 ,    0.363 ,    0.261 ,    0.581 ,    0.403
     model-7008 ,    0.783 ,    0.627 ,    0.484 ,    0.361 ,    0.265 ,    0.585 ,    0.408
     model-7308 ,    0.782 ,    0.626 ,    0.484 ,    0.361 ,    0.268 ,    0.587 ,    0.413
     model-7608 ,    0.781 ,    0.624 ,    0.481 ,    0.361 ,    0.265 ,    0.581 ,    0.402
     model-7908 ,    0.776 ,    0.620 ,    0.478 ,    0.357 ,    0.264 ,    0.580 ,    0.400
     model-8444 ,    0.775 ,    0.620 ,    0.479 ,    0.356 ,    0.263 ,    0.582 ,    0.403
     model-8744 ,    0.778 ,    0.622 ,    0.477 ,    0.353 ,    0.263 ,    0.581 ,    0.403
     model-9044 ,    0.780 ,    0.623 ,    0.480 ,    0.356 ,    0.265 ,    0.581 ,    0.407
     model-9344 ,    0.782 ,    0.628 ,    0.485 ,    0.362 ,    0.266 ,    0.587 ,    0.422
     model-9644 ,    0.775 ,    0.618 ,    0.478 ,    0.358 ,    0.264 ,    0.581 ,    0.402
     model-9944 ,    0.779 ,    0.623 ,    0.483 ,    0.361 ,    0.267 ,    0.582 ,    0.408
    model-10480 ,    0.776 ,    0.619 ,    0.476 ,    0.354 ,    0.263 ,    0.580 ,    0.407
    model-10780 ,    0.779 ,    0.622 ,    0.478 ,    0.356 ,    0.263 ,    0.577 ,    0.402
    model-11080 ,    0.782 ,    0.621 ,    0.475 ,    0.351 ,    0.266 ,    0.581 ,    0.401
    model-11380 ,    0.777 ,    0.622 ,    0.478 ,    0.354 ,    0.265 ,    0.580 ,    0.397
    model-11680 ,    0.781 ,    0.625 ,    0.481 ,    0.356 ,    0.269 ,    0.584 ,    0.406
    model-11980 ,    0.778 ,    0.622 ,    0.480 ,    0.357 ,    0.265 ,    0.582 ,    0.405
    model-12516 ,    0.771 ,    0.614 ,    0.469 ,    0.344 ,    0.263 ,    0.578 ,    0.396
    model-12816 ,    0.778 ,    0.618 ,    0.474 ,    0.351 ,    0.265 ,    0.579 ,    0.400
    model-13116 ,    0.774 ,    0.617 ,    0.473 ,    0.349 ,    0.263 ,    0.578 ,    0.401
    model-13416 ,    0.776 ,    0.618 ,    0.472 ,    0.348 ,    0.264 ,    0.576 ,    0.391
    model-13716 ,    0.775 ,    0.612 ,    0.468 ,    0.344 ,    0.264 ,    0.577 ,    0.397
    model-14016 ,    0.782 ,    0.622 ,    0.475 ,    0.350 ,    0.267 ,    0.580 ,    0.403
    model-14552 ,    0.777 ,    0.618 ,    0.475 ,    0.352 ,    0.265 ,    0.581 ,    0.406
    model-14852 ,    0.775 ,    0.613 ,    0.467 ,    0.344 ,    0.264 ,    0.576 ,    0.396
    model-15152 ,    0.780 ,    0.621 ,    0.478 ,    0.354 ,    0.268 ,    0.584 ,    0.416
    model-15452 ,    0.775 ,    0.616 ,    0.472 ,    0.350 ,    0.265 ,    0.579 ,    0.400
    model-15752 ,    0.769 ,    0.610 ,    0.469 ,    0.348 ,    0.260 ,    0.575 ,    0.395
    model-16052 ,    0.782 ,    0.625 ,    0.481 ,    0.359 ,    0.266 ,    0.582 ,    0.401
    model-16588 ,    0.772 ,    0.612 ,    0.468 ,    0.345 ,    0.261 ,    0.573 ,    0.390
    model-16888 ,    0.773 ,    0.615 ,    0.472 ,    0.349 ,    0.263 ,    0.578 ,    0.405
    model-17188 ,    0.771 ,    0.612 ,    0.469 ,    0.346 ,    0.265 ,    0.578 ,    0.400
    model-17488 ,    0.771 ,    0.614 ,    0.473 ,    0.352 ,    0.265 ,    0.582 ,    0.408
    model-17788 ,    0.771 ,    0.607 ,    0.462 ,    0.340 ,    0.264 ,    0.574 ,    0.393
    model-18088 ,    0.774 ,    0.614 ,    0.471 ,    0.350 ,    0.266 ,    0.580 ,    0.408
    model-18624 ,    0.768 ,    0.610 ,    0.466 ,    0.344 ,    0.262 ,    0.576 ,    0.396
