          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
      model-300 ,    0.662 ,    0.468 ,    0.330 ,    0.202 ,    0.201 ,    0.512 ,    0.127
      model-600 ,    0.722 ,    0.548 ,    0.407 ,    0.288 ,    0.230 ,    0.546 ,    0.238
      model-900 ,    0.720 ,    0.552 ,    0.411 ,    0.289 ,    0.235 ,    0.552 ,    0.263
     model-1200 ,    0.752 ,    0.588 ,    0.448 ,    0.329 ,    0.246 ,    0.575 ,    0.319
     model-1500 ,    0.753 ,    0.593 ,    0.455 ,    0.334 ,    0.253 ,    0.579 ,    0.346
     model-1800 ,    0.756 ,    0.595 ,    0.458 ,    0.341 ,    0.252 ,    0.577 ,    0.351
     model-2336 ,    0.765 ,    0.616 ,    0.480 ,    0.362 ,    0.259 ,    0.584 ,    0.372
     model-2636 ,    0.768 ,    0.614 ,    0.475 ,    0.350 ,    0.257 ,    0.584 ,    0.366
     model-2936 ,    0.770 ,    0.614 ,    0.478 ,    0.361 ,    0.261 ,    0.586 ,    0.389
     model-3236 ,    0.774 ,    0.623 ,    0.485 ,    0.363 ,    0.262 ,    0.587 ,    0.393
     model-3536 ,    0.778 ,    0.624 ,    0.482 ,    0.358 ,    0.262 ,    0.587 ,    0.386
     model-3836 ,    0.771 ,    0.619 ,    0.480 ,    0.358 ,    0.258 ,    0.584 ,    0.394
     model-4372 ,    0.776 ,    0.623 ,    0.485 ,    0.367 ,    0.263 ,    0.588 ,    0.404
     model-4672 ,    0.771 ,    0.619 ,    0.481 ,    0.364 ,    0.259 ,    0.584 ,    0.403
     model-4972 ,    0.777 ,    0.627 ,    0.488 ,    0.368 ,    0.264 ,    0.587 ,    0.403
     model-5272 ,    0.781 ,    0.625 ,    0.482 ,    0.360 ,    0.262 ,    0.583 ,    0.399
     model-5572 ,    0.781 ,    0.625 ,    0.482 ,    0.359 ,    0.264 ,    0.582 ,    0.401
