          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
     model-1000 ,    0.715 ,    0.537 ,    0.366 ,    0.187 ,    0.187 ,    0.543 ,    0.121
     model-2000 ,    0.739 ,    0.566 ,    0.418 ,    0.289 ,    0.227 ,    0.555 ,    0.230
     model-3036 ,    0.727 ,    0.573 ,    0.437 ,    0.316 ,    0.234 ,    0.561 ,    0.273
     model-4036 ,    0.720 ,    0.580 ,    0.452 ,    0.334 ,    0.238 ,    0.563 ,    0.301
     model-5072 ,    0.747 ,    0.597 ,    0.463 ,    0.345 ,    0.250 ,    0.578 ,    0.352
     model-6072 ,    0.742 ,    0.598 ,    0.465 ,    0.350 ,    0.251 ,    0.578 ,    0.363
     model-7108 ,    0.751 ,    0.602 ,    0.464 ,    0.344 ,    0.254 ,    0.582 ,    0.364
     model-8108 ,    0.750 ,    0.602 ,    0.468 ,    0.352 ,    0.253 ,    0.579 ,    0.371
     model-9144 ,    0.749 ,    0.602 ,    0.469 ,    0.350 ,    0.252 ,    0.581 ,    0.374
    model-10144 ,    0.753 ,    0.604 ,    0.470 ,    0.354 ,    0.254 ,    0.583 ,    0.380
    model-11180 ,    0.760 ,    0.610 ,    0.475 ,    0.359 ,    0.255 ,    0.582 ,    0.392
    model-12180 ,    0.753 ,    0.608 ,    0.477 ,    0.361 ,    0.256 ,    0.584 ,    0.384
    model-13216 ,    0.747 ,    0.604 ,    0.474 ,    0.359 ,    0.254 ,    0.583 ,    0.386
    model-14216 ,    0.742 ,    0.598 ,    0.469 ,    0.354 ,    0.253 ,    0.575 ,    0.390
    model-15252 ,    0.764 ,    0.616 ,    0.481 ,    0.365 ,    0.261 ,    0.585 ,    0.404
    model-16252 ,    0.746 ,    0.602 ,    0.471 ,    0.357 ,    0.255 ,    0.581 ,    0.385
    model-17288 ,    0.738 ,    0.600 ,    0.474 ,    0.362 ,    0.255 ,    0.580 ,    0.396
    model-18288 ,    0.752 ,    0.610 ,    0.480 ,    0.363 ,    0.256 ,    0.582 ,    0.395
    model-19324 ,    0.749 ,    0.605 ,    0.475 ,    0.362 ,    0.255 ,    0.580 ,    0.402
    model-20324 ,    0.758 ,    0.608 ,    0.473 ,    0.356 ,    0.258 ,    0.582 ,    0.403
    model-21360 ,    0.741 ,    0.601 ,    0.474 ,    0.360 ,    0.255 ,    0.577 ,    0.395
    model-22360 ,    0.745 ,    0.601 ,    0.472 ,    0.359 ,    0.252 ,    0.575 ,    0.388
    model-23360 ,    0.743 ,    0.598 ,    0.468 ,    0.355 ,    0.253 ,    0.576 ,    0.391
    model-24396 ,    0.741 ,    0.599 ,    0.471 ,    0.359 ,    0.253 ,    0.573 ,    0.399
    model-25396 ,    0.751 ,    0.606 ,    0.475 ,    0.362 ,    0.256 ,    0.578 ,    0.405
    model-26432 ,    0.754 ,    0.610 ,    0.476 ,    0.358 ,    0.256 ,    0.578 ,    0.391
    model-27432 ,    0.752 ,    0.607 ,    0.473 ,    0.358 ,    0.255 ,    0.577 ,    0.394
    model-28468 ,    0.745 ,    0.597 ,    0.465 ,    0.350 ,    0.254 ,    0.572 ,    0.386
    model-29468 ,    0.745 ,    0.604 ,    0.475 ,    0.363 ,    0.257 ,    0.580 ,    0.404
    model-30504 ,    0.748 ,    0.600 ,    0.465 ,    0.350 ,    0.256 ,    0.573 ,    0.392
    model-31504 ,    0.750 ,    0.603 ,    0.471 ,    0.357 ,    0.254 ,    0.573 ,    0.392
    model-31540 ,    0.748 ,    0.602 ,    0.470 ,    0.356 ,    0.254 ,    0.574 ,    0.393
    model-32540 ,    0.747 ,    0.603 ,    0.473 ,    0.359 ,    0.255 ,    0.575 ,    0.395
    model-33540 ,    0.756 ,    0.606 ,    0.472 ,    0.356 ,    0.257 ,    0.573 ,    0.404
    model-34576 ,    0.749 ,    0.601 ,    0.466 ,    0.351 ,    0.257 ,    0.568 ,    0.395
    model-35576 ,    0.753 ,    0.597 ,    0.460 ,    0.344 ,    0.253 ,    0.569 ,    0.393
    model-36612 ,    0.752 ,    0.602 ,    0.467 ,    0.352 ,    0.254 ,    0.575 ,    0.390
    model-37612 ,    0.749 ,    0.600 ,    0.467 ,    0.351 ,    0.255 ,    0.573 ,    0.393
    model-38648 ,    0.762 ,    0.608 ,    0.468 ,    0.349 ,    0.256 ,    0.573 ,    0.393
    model-39648 ,    0.736 ,    0.587 ,    0.455 ,    0.342 ,    0.248 ,    0.561 ,    0.382
    model-40684 ,    0.744 ,    0.598 ,    0.469 ,    0.356 ,    0.253 ,    0.575 ,    0.386
    model-41684 ,    0.753 ,    0.603 ,    0.466 ,    0.350 ,    0.257 ,    0.576 ,    0.390
    model-41720 ,    0.742 ,    0.595 ,    0.463 ,    0.349 ,    0.252 ,    0.572 ,    0.390
