          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
      model-500 ,    0.713 ,    0.549 ,    0.404 ,    0.275 ,    0.216 ,    0.543 ,    0.193
     model-1000 ,    0.740 ,    0.575 ,    0.434 ,    0.313 ,    0.237 ,    0.562 ,    0.275
     model-1500 ,    0.746 ,    0.587 ,    0.450 ,    0.333 ,    0.245 ,    0.570 ,    0.329
     model-2000 ,    0.745 ,    0.589 ,    0.456 ,    0.338 ,    0.248 ,    0.572 ,    0.343
     model-2536 ,    0.752 ,    0.599 ,    0.465 ,    0.347 ,    0.255 ,    0.573 ,    0.370
     model-3036 ,    0.762 ,    0.606 ,    0.467 ,    0.348 ,    0.256 ,    0.575 ,    0.377
     model-3536 ,    0.759 ,    0.605 ,    0.472 ,    0.357 ,    0.260 ,    0.577 ,    0.394
     model-4036 ,    0.751 ,    0.600 ,    0.465 ,    0.348 ,    0.255 ,    0.572 ,    0.390
     model-4572 ,    0.762 ,    0.611 ,    0.477 ,    0.360 ,    0.263 ,    0.580 ,    0.401
     model-5072 ,    0.765 ,    0.607 ,    0.466 ,    0.345 ,    0.262 ,    0.572 ,    0.393
     model-5572 ,    0.765 ,    0.609 ,    0.470 ,    0.352 ,    0.263 ,    0.574 ,    0.400
     model-6072 ,    0.775 ,    0.625 ,    0.488 ,    0.371 ,    0.267 ,    0.586 ,    0.423
     model-6608 ,    0.771 ,    0.615 ,    0.474 ,    0.355 ,    0.264 ,    0.579 ,    0.416
     model-7108 ,    0.774 ,    0.621 ,    0.483 ,    0.363 ,    0.267 ,    0.583 ,    0.423
     model-7608 ,    0.766 ,    0.614 ,    0.477 ,    0.360 ,    0.264 ,    0.577 ,    0.414
     model-8108 ,    0.770 ,    0.615 ,    0.477 ,    0.359 ,    0.266 ,    0.580 ,    0.419
     model-8644 ,    0.776 ,    0.621 ,    0.480 ,    0.361 ,    0.268 ,    0.582 ,    0.419
     model-9144 ,    0.782 ,    0.630 ,    0.490 ,    0.370 ,    0.271 ,    0.584 ,    0.426
     model-9644 ,    0.772 ,    0.614 ,    0.472 ,    0.354 ,    0.266 ,    0.578 ,    0.421
    model-10144 ,    0.770 ,    0.614 ,    0.472 ,    0.355 ,    0.267 ,    0.578 ,    0.423
    model-10680 ,    0.776 ,    0.622 ,    0.484 ,    0.367 ,    0.269 ,    0.583 ,    0.422
    model-11180 ,    0.772 ,    0.610 ,    0.467 ,    0.349 ,    0.267 ,    0.573 ,    0.412
    model-11680 ,    0.776 ,    0.620 ,    0.478 ,    0.358 ,    0.270 ,    0.579 ,    0.420
    model-12180 ,    0.776 ,    0.621 ,    0.480 ,    0.361 ,    0.268 ,    0.579 ,    0.428
    model-12716 ,    0.774 ,    0.615 ,    0.476 ,    0.358 ,    0.268 ,    0.578 ,    0.425
    model-13216 ,    0.774 ,    0.617 ,    0.476 ,    0.357 ,    0.269 ,    0.579 ,    0.426
    model-13716 ,    0.778 ,    0.620 ,    0.476 ,    0.357 ,    0.271 ,    0.580 ,    0.421
    model-14216 ,    0.773 ,    0.619 ,    0.480 ,    0.363 ,    0.270 ,    0.579 ,    0.428
    model-14752 ,    0.775 ,    0.612 ,    0.467 ,    0.348 ,    0.268 ,    0.575 ,    0.421
    model-15252 ,    0.774 ,    0.617 ,    0.476 ,    0.359 ,    0.271 ,    0.581 ,    0.435
    model-15752 ,    0.777 ,    0.620 ,    0.480 ,    0.362 ,    0.270 ,    0.582 ,    0.434
    model-16252 ,    0.776 ,    0.617 ,    0.475 ,    0.357 ,    0.270 ,    0.580 ,    0.428
    model-16788 ,    0.773 ,    0.617 ,    0.478 ,    0.360 ,    0.270 ,    0.580 ,    0.432
    model-17288 ,    0.776 ,    0.621 ,    0.483 ,    0.364 ,    0.271 ,    0.582 ,    0.438
    model-17788 ,    0.774 ,    0.618 ,    0.477 ,    0.359 ,    0.272 ,    0.580 ,    0.430
    model-18288 ,    0.778 ,    0.619 ,    0.476 ,    0.358 ,    0.272 ,    0.578 ,    0.433
    model-18824 ,    0.774 ,    0.617 ,    0.476 ,    0.360 ,    0.271 ,    0.580 ,    0.436
    model-19324 ,    0.768 ,    0.609 ,    0.469 ,    0.352 ,    0.267 ,    0.572 ,    0.426
    model-19824 ,    0.773 ,    0.614 ,    0.471 ,    0.355 ,    0.270 ,    0.574 ,    0.424
    model-20324 ,    0.770 ,    0.610 ,    0.468 ,    0.352 ,    0.269 ,    0.574 ,    0.427
    model-20860 ,    0.775 ,    0.618 ,    0.476 ,    0.359 ,    0.272 ,    0.579 ,    0.435
    model-21360 ,    0.775 ,    0.618 ,    0.473 ,    0.353 ,    0.270 ,    0.577 ,    0.422
    model-21860 ,    0.774 ,    0.614 ,    0.473 ,    0.353 ,    0.269 ,    0.573 ,    0.426
    model-22360 ,    0.779 ,    0.620 ,    0.477 ,    0.358 ,    0.270 ,    0.578 ,    0.430
    model-22896 ,    0.771 ,    0.614 ,    0.472 ,    0.353 ,    0.270 ,    0.573 ,    0.424
