          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
     model-1000 ,    0.651 ,    0.464 ,    0.334 ,    0.222 ,    0.196 ,    0.506 ,    0.091
     model-5072 ,    0.723 ,    0.547 ,    0.411 ,    0.299 ,    0.232 ,    0.539 ,    0.245
     model-6072 ,    0.729 ,    0.548 ,    0.411 ,    0.303 ,    0.236 ,    0.549 ,    0.254
     model-7108 ,    0.722 ,    0.551 ,    0.417 ,    0.308 ,    0.238 ,    0.549 ,    0.268
     model-8108 ,    0.722 ,    0.547 ,    0.410 ,    0.303 ,    0.242 ,    0.549 ,    0.288
     model-9144 ,    0.720 ,    0.549 ,    0.410 ,    0.301 ,    0.242 ,    0.548 ,    0.298
    model-10144 ,    0.727 ,    0.554 ,    0.417 ,    0.308 ,    0.246 ,    0.544 ,    0.313
    model-11180 ,    0.735 ,    0.566 ,    0.431 ,    0.320 ,    0.245 ,    0.555 ,    0.312
    model-12180 ,    0.733 ,    0.573 ,    0.438 ,    0.326 ,    0.249 ,    0.553 ,    0.322
    model-13216 ,    0.746 ,    0.576 ,    0.430 ,    0.316 ,    0.255 ,    0.553 ,    0.340
    model-14216 ,    0.742 ,    0.578 ,    0.438 ,    0.327 ,    0.256 ,    0.559 ,    0.348
    model-15252 ,    0.734 ,    0.565 ,    0.421 ,    0.310 ,    0.256 ,    0.556 ,    0.348
    model-16252 ,    0.740 ,    0.575 ,    0.437 ,    0.328 ,    0.258 ,    0.557 ,    0.358
    model-17288 ,    0.750 ,    0.590 ,    0.452 ,    0.340 ,    0.261 ,    0.565 ,    0.367
    model-18288 ,    0.750 ,    0.591 ,    0.454 ,    0.341 ,    0.265 ,    0.570 ,    0.374
    model-19324 ,    0.753 ,    0.589 ,    0.448 ,    0.336 ,    0.265 ,    0.566 ,    0.373
    model-20324 ,    0.748 ,    0.584 ,    0.443 ,    0.332 ,    0.264 ,    0.561 ,    0.372
    model-21360 ,    0.748 ,    0.596 ,    0.463 ,    0.354 ,    0.267 ,    0.572 ,    0.384
    model-22360 ,    0.756 ,    0.596 ,    0.458 ,    0.346 ,    0.268 ,    0.570 ,    0.390
    model-23396 ,    0.751 ,    0.595 ,    0.459 ,    0.346 ,    0.265 ,    0.568 ,    0.382
    model-24396 ,    0.754 ,    0.593 ,    0.453 ,    0.340 ,    0.267 ,    0.567 ,    0.376
    model-25432 ,    0.748 ,    0.591 ,    0.456 ,    0.345 ,    0.265 ,    0.570 ,    0.387
    model-26432 ,    0.753 ,    0.592 ,    0.457 ,    0.344 ,    0.264 ,    0.570 ,    0.384
    model-27468 ,    0.756 ,    0.599 ,    0.464 ,    0.353 ,    0.267 ,    0.571 ,    0.398
    model-28468 ,    0.755 ,    0.596 ,    0.460 ,    0.346 ,    0.265 ,    0.567 ,    0.382
    model-28504 ,    0.750 ,    0.588 ,    0.447 ,    0.334 ,    0.265 ,    0.565 ,    0.374
    model-29004 ,    0.754 ,    0.598 ,    0.461 ,    0.350 ,    0.267 ,    0.572 ,    0.387
    model-29504 ,    0.761 ,    0.601 ,    0.464 ,    0.351 ,    0.268 ,    0.571 ,    0.394
    model-30004 ,    0.757 ,    0.594 ,    0.454 ,    0.341 ,    0.268 ,    0.565 ,    0.389
    model-30504 ,    0.755 ,    0.595 ,    0.456 ,    0.346 ,    0.266 ,    0.570 ,    0.391
    model-30540 ,    0.748 ,    0.591 ,    0.456 ,    0.347 ,    0.265 ,    0.566 ,    0.392
