          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
      model-800 ,    0.732 ,    0.564 ,    0.424 ,    0.302 ,    0.231 ,    0.557 ,    0.242
     model-1600 ,    0.752 ,    0.590 ,    0.454 ,    0.336 ,    0.245 ,    0.571 ,    0.308
     model-2836 ,    0.765 ,    0.609 ,    0.473 ,    0.357 ,    0.257 ,    0.582 ,    0.370
     model-3636 ,    0.771 ,    0.621 ,    0.487 ,    0.370 ,    0.267 ,    0.584 ,    0.397
     model-4872 ,    0.771 ,    0.623 ,    0.490 ,    0.374 ,    0.266 ,    0.587 ,    0.408
     model-5672 ,    0.778 ,    0.629 ,    0.492 ,    0.373 ,    0.271 ,    0.587 ,    0.431
     model-6908 ,    0.782 ,    0.634 ,    0.499 ,    0.382 ,    0.273 ,    0.589 ,    0.430
     model-7708 ,    0.783 ,    0.630 ,    0.487 ,    0.366 ,    0.274 ,    0.587 ,    0.429
     model-8944 ,    0.786 ,    0.634 ,    0.494 ,    0.375 ,    0.275 ,    0.594 ,    0.446
     model-9744 ,    0.784 ,    0.631 ,    0.489 ,    0.372 ,    0.274 ,    0.588 ,    0.450
    model-10980 ,    0.786 ,    0.634 ,    0.497 ,    0.380 ,    0.276 ,    0.588 ,    0.455
    model-11780 ,    0.781 ,    0.627 ,    0.487 ,    0.371 ,    0.274 ,    0.587 ,    0.455
    model-13016 ,    0.784 ,    0.635 ,    0.497 ,    0.379 ,    0.277 ,    0.592 ,    0.455
    model-13816 ,    0.780 ,    0.628 ,    0.490 ,    0.371 ,    0.273 ,    0.586 ,    0.450
    model-15052 ,    0.785 ,    0.631 ,    0.490 ,    0.370 ,    0.276 ,    0.587 ,    0.449
    model-15852 ,    0.783 ,    0.632 ,    0.493 ,    0.373 ,    0.277 ,    0.590 ,    0.448
    model-17088 ,    0.782 ,    0.630 ,    0.490 ,    0.374 ,    0.273 ,    0.585 ,    0.449
    model-17888 ,    0.787 ,    0.632 ,    0.491 ,    0.372 ,    0.277 ,    0.586 ,    0.447
    model-19124 ,    0.783 ,    0.629 ,    0.489 ,    0.372 ,    0.274 ,    0.587 ,    0.442
    model-19924 ,    0.782 ,    0.632 ,    0.494 ,    0.374 ,    0.275 ,    0.586 ,    0.453
    model-21160 ,    0.782 ,    0.627 ,    0.488 ,    0.372 ,    0.275 ,    0.583 ,    0.441
    model-21960 ,    0.779 ,    0.623 ,    0.481 ,    0.362 ,    0.274 ,    0.579 ,    0.445
    model-23196 ,    0.782 ,    0.633 ,    0.498 ,    0.381 ,    0.278 ,    0.590 ,    0.457
    model-23996 ,    0.784 ,    0.635 ,    0.496 ,    0.375 ,    0.277 ,    0.589 ,    0.441
    model-25232 ,    0.776 ,    0.622 ,    0.483 ,    0.365 ,    0.273 ,    0.582 ,    0.434
    model-26032 ,    0.782 ,    0.629 ,    0.492 ,    0.375 ,    0.276 ,    0.586 ,    0.449
    model-27268 ,    0.776 ,    0.621 ,    0.482 ,    0.364 ,    0.273 ,    0.579 ,    0.441
    model-28068 ,    0.783 ,    0.627 ,    0.486 ,    0.370 ,    0.274 ,    0.582 ,    0.443
    model-29304 ,    0.778 ,    0.621 ,    0.480 ,    0.363 ,    0.276 ,    0.581 ,    0.435
    model-30104 ,    0.778 ,    0.629 ,    0.493 ,    0.377 ,    0.274 ,    0.585 ,    0.446
    model-31340 ,    0.776 ,    0.627 ,    0.491 ,    0.375 ,    0.276 ,    0.584 ,    0.442
    model-32140 ,    0.773 ,    0.618 ,    0.478 ,    0.361 ,    0.272 ,    0.578 ,    0.424
    model-33376 ,    0.779 ,    0.626 ,    0.487 ,    0.371 ,    0.276 ,    0.583 ,    0.435
    model-34176 ,    0.779 ,    0.625 ,    0.487 ,    0.371 ,    0.277 ,    0.583 ,    0.434
    model-35412 ,    0.774 ,    0.623 ,    0.485 ,    0.369 ,    0.276 ,    0.584 ,    0.441
    model-36212 ,    0.771 ,    0.614 ,    0.473 ,    0.358 ,    0.275 ,    0.576 ,    0.437
    model-37448 ,    0.773 ,    0.615 ,    0.475 ,    0.357 ,    0.275 ,    0.578 ,    0.424
    model-38248 ,    0.776 ,    0.619 ,    0.479 ,    0.363 ,    0.275 ,    0.579 ,    0.429
    model-39484 ,    0.774 ,    0.622 ,    0.485 ,    0.372 ,    0.275 ,    0.580 ,    0.435
    model-40284 ,    0.772 ,    0.613 ,    0.473 ,    0.357 ,    0.274 ,    0.578 ,    0.434
    model-40720 ,    0.774 ,    0.615 ,    0.473 ,    0.358 ,    0.277 ,    0.579 ,    0.431
