          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
      model-500 ,    0.706 ,    0.529 ,    0.386 ,    0.261 ,    0.223 ,    0.543 ,    0.217
     model-1000 ,    0.736 ,    0.567 ,    0.427 ,    0.309 ,    0.240 ,    0.564 ,    0.280
     model-1500 ,    0.758 ,    0.596 ,    0.455 ,    0.334 ,    0.251 ,    0.576 ,    0.330
     model-2000 ,    0.761 ,    0.605 ,    0.467 ,    0.345 ,    0.257 ,    0.581 ,    0.370
     model-2536 ,    0.760 ,    0.608 ,    0.473 ,    0.353 ,    0.257 ,    0.582 ,    0.373
     model-3036 ,    0.769 ,    0.619 ,    0.481 ,    0.362 ,    0.262 ,    0.589 ,    0.396
     model-3536 ,    0.770 ,    0.621 ,    0.485 ,    0.366 ,    0.263 ,    0.591 ,    0.399
     model-4036 ,    0.781 ,    0.633 ,    0.496 ,    0.376 ,    0.266 ,    0.593 ,    0.409
     model-4572 ,    0.783 ,    0.630 ,    0.488 ,    0.363 ,    0.265 ,    0.589 ,    0.410
     model-5072 ,    0.784 ,    0.632 ,    0.491 ,    0.368 ,    0.267 ,    0.592 ,    0.412
     model-5572 ,    0.785 ,    0.632 ,    0.492 ,    0.368 ,    0.265 ,    0.591 ,    0.408
     model-6072 ,    0.787 ,    0.633 ,    0.493 ,    0.373 ,    0.270 ,    0.591 ,    0.416
     model-6608 ,    0.776 ,    0.619 ,    0.475 ,    0.349 ,    0.264 ,    0.583 ,    0.415
     model-7108 ,    0.784 ,    0.632 ,    0.491 ,    0.369 ,    0.268 ,    0.590 ,    0.426
     model-7608 ,    0.787 ,    0.633 ,    0.492 ,    0.367 ,    0.269 ,    0.590 ,    0.421
     model-8108 ,    0.782 ,    0.631 ,    0.492 ,    0.372 ,    0.265 ,    0.588 ,    0.415
     model-8644 ,    0.782 ,    0.627 ,    0.487 ,    0.366 ,    0.264 ,    0.588 ,    0.415
     model-9144 ,    0.783 ,    0.628 ,    0.488 ,    0.364 ,    0.268 ,    0.588 ,    0.412
     model-9644 ,    0.775 ,    0.624 ,    0.488 ,    0.368 ,    0.263 ,    0.585 ,    0.421
    model-10144 ,    0.779 ,    0.620 ,    0.478 ,    0.357 ,    0.263 ,    0.580 ,    0.413
    model-10680 ,    0.786 ,    0.632 ,    0.493 ,    0.370 ,    0.268 ,    0.588 ,    0.423
    model-11180 ,    0.780 ,    0.624 ,    0.484 ,    0.362 ,    0.267 ,    0.584 ,    0.418
    model-11680 ,    0.779 ,    0.625 ,    0.485 ,    0.365 ,    0.266 ,    0.583 ,    0.420
    model-12180 ,    0.778 ,    0.617 ,    0.472 ,    0.351 ,    0.267 ,    0.578 ,    0.408
    model-12716 ,    0.780 ,    0.624 ,    0.482 ,    0.362 ,    0.268 ,    0.584 ,    0.423
    model-13216 ,    0.775 ,    0.620 ,    0.478 ,    0.357 ,    0.265 ,    0.583 ,    0.411
    model-13716 ,    0.775 ,    0.622 ,    0.481 ,    0.357 ,    0.264 ,    0.583 ,    0.410
    model-14216 ,    0.780 ,    0.623 ,    0.479 ,    0.356 ,    0.266 ,    0.582 ,    0.409
    model-14752 ,    0.777 ,    0.618 ,    0.474 ,    0.352 ,    0.263 ,    0.581 ,    0.408
    model-15252 ,    0.783 ,    0.618 ,    0.472 ,    0.350 ,    0.267 ,    0.579 ,    0.415
    model-15752 ,    0.772 ,    0.614 ,    0.472 ,    0.352 ,    0.265 ,    0.580 ,    0.405
