          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
     model-9044 ,    0.774 ,    0.606 ,    0.458 ,    0.335 ,    0.263 ,    0.573 ,    0.394
     model-9344 ,    0.770 ,    0.608 ,    0.463 ,    0.342 ,    0.262 ,    0.573 ,    0.390
     model-9644 ,    0.771 ,    0.613 ,    0.468 ,    0.348 ,    0.263 ,    0.579 ,    0.403
     model-9944 ,    0.771 ,    0.615 ,    0.474 ,    0.353 ,    0.262 ,    0.578 ,    0.394
    model-10480 ,    0.771 ,    0.605 ,    0.456 ,    0.333 ,    0.262 ,    0.570 ,    0.383
    model-10780 ,    0.767 ,    0.607 ,    0.460 ,    0.337 ,    0.259 ,    0.571 ,    0.392
    model-11080 ,    0.772 ,    0.610 ,    0.466 ,    0.346 ,    0.259 ,    0.572 ,    0.393
    model-11380 ,    0.771 ,    0.607 ,    0.461 ,    0.339 ,    0.261 ,    0.573 ,    0.390
    model-11680 ,    0.766 ,    0.603 ,    0.456 ,    0.336 ,    0.260 ,    0.571 ,    0.393
    model-11980 ,    0.774 ,    0.617 ,    0.475 ,    0.356 ,    0.264 ,    0.580 ,    0.403
    model-12516 ,    0.768 ,    0.600 ,    0.451 ,    0.328 ,    0.258 ,    0.568 ,    0.374
    model-12816 ,    0.770 ,    0.609 ,    0.466 ,    0.344 ,    0.260 ,    0.575 ,    0.392
    model-13116 ,    0.768 ,    0.602 ,    0.454 ,    0.330 ,    0.259 ,    0.569 ,    0.377
    model-13416 ,    0.765 ,    0.605 ,    0.462 ,    0.342 ,    0.260 ,    0.572 ,    0.386
    model-13716 ,    0.770 ,    0.608 ,    0.463 ,    0.341 ,    0.263 ,    0.573 ,    0.392
    model-14016 ,    0.758 ,    0.598 ,    0.455 ,    0.337 ,    0.257 ,    0.569 ,    0.378
    model-14552 ,    0.760 ,    0.593 ,    0.446 ,    0.324 ,    0.255 ,    0.562 ,    0.373
    model-14852 ,    0.765 ,    0.594 ,    0.447 ,    0.327 ,    0.260 ,    0.565 ,    0.377
    model-15152 ,    0.756 ,    0.590 ,    0.445 ,    0.327 ,    0.258 ,    0.564 ,    0.377
    model-15452 ,    0.765 ,    0.604 ,    0.459 ,    0.337 ,    0.259 ,    0.569 ,    0.388
    model-15752 ,    0.758 ,    0.589 ,    0.443 ,    0.322 ,    0.258 ,    0.562 ,    0.375
    model-16052 ,    0.760 ,    0.598 ,    0.455 ,    0.333 ,    0.257 ,    0.567 ,    0.368
    model-16588 ,    0.754 ,    0.581 ,    0.433 ,    0.310 ,    0.257 ,    0.558 ,    0.370
    model-16888 ,    0.758 ,    0.592 ,    0.447 ,    0.327 ,    0.256 ,    0.566 ,    0.376
    model-17188 ,    0.762 ,    0.592 ,    0.445 ,    0.322 ,    0.257 ,    0.564 ,    0.377
    model-17488 ,    0.759 ,    0.596 ,    0.453 ,    0.336 ,    0.258 ,    0.567 ,    0.378
    model-17788 ,    0.757 ,    0.586 ,    0.439 ,    0.321 ,    0.257 ,    0.562 ,    0.377
    model-18088 ,    0.760 ,    0.591 ,    0.444 ,    0.324 ,    0.255 ,    0.563 ,    0.372
    model-18624 ,    0.756 ,    0.589 ,    0.443 ,    0.322 ,    0.254 ,    0.560 ,    0.368
    model-18924 ,    0.760 ,    0.591 ,    0.443 ,    0.323 ,    0.259 ,    0.562 ,    0.372
    model-19224 ,    0.758 ,    0.592 ,    0.448 ,    0.329 ,    0.257 ,    0.568 ,    0.380
    model-19524 ,    0.756 ,    0.590 ,    0.446 ,    0.327 ,    0.259 ,    0.567 ,    0.372
    model-19824 ,    0.760 ,    0.594 ,    0.447 ,    0.325 ,    0.256 ,    0.564 ,    0.372
    model-20124 ,    0.752 ,    0.580 ,    0.432 ,    0.312 ,    0.253 ,    0.558 ,    0.364
    model-20360 ,    0.754 ,    0.590 ,    0.446 ,    0.326 ,    0.254 ,    0.563 ,    0.371
