          model ,   Bleu_1 ,   Bleu_2 ,   Bleu_3 ,   Bleu_4 ,   METEOR ,  ROUGE_L ,    CIDEr
      model-300 ,    0.702 ,    0.518 ,    0.372 ,    0.243 ,    0.216 ,    0.528 ,    0.164
      model-600 ,    0.725 ,    0.553 ,    0.406 ,    0.282 ,    0.229 ,    0.551 ,    0.241
      model-900 ,    0.737 ,    0.569 ,    0.427 ,    0.306 ,    0.238 ,    0.561 ,    0.269
     model-1200 ,    0.747 ,    0.581 ,    0.441 ,    0.321 ,    0.246 ,    0.568 ,    0.314
     model-1500 ,    0.751 ,    0.589 ,    0.449 ,    0.329 ,    0.252 ,    0.576 ,    0.342
     model-1800 ,    0.755 ,    0.598 ,    0.459 ,    0.340 ,    0.251 ,    0.578 ,    0.352
     model-2336 ,    0.760 ,    0.604 ,    0.462 ,    0.341 ,    0.254 ,    0.577 ,    0.356
     model-2636 ,    0.777 ,    0.622 ,    0.481 ,    0.358 ,    0.259 ,    0.584 ,    0.385
     model-2936 ,    0.770 ,    0.615 ,    0.476 ,    0.356 ,    0.256 ,    0.584 ,    0.380
     model-3236 ,    0.774 ,    0.619 ,    0.480 ,    0.358 ,    0.261 ,    0.589 ,    0.389
     model-3536 ,    0.774 ,    0.624 ,    0.484 ,    0.364 ,    0.259 ,    0.585 ,    0.391
     model-3836 ,    0.774 ,    0.622 ,    0.483 ,    0.362 ,    0.262 ,    0.584 ,    0.390
     model-4372 ,    0.779 ,    0.629 ,    0.490 ,    0.367 ,    0.263 ,    0.588 ,    0.400
     model-4672 ,    0.771 ,    0.613 ,    0.471 ,    0.347 ,    0.257 ,    0.576 ,    0.390
     model-4972 ,    0.780 ,    0.624 ,    0.479 ,    0.355 ,    0.263 ,    0.583 ,    0.405
     model-5272 ,    0.780 ,    0.626 ,    0.484 ,    0.364 ,    0.263 ,    0.586 ,    0.407
     model-5572 ,    0.777 ,    0.618 ,    0.472 ,    0.350 ,    0.262 ,    0.581 ,    0.398
     model-5872 ,    0.780 ,    0.624 ,    0.479 ,    0.356 ,    0.264 ,    0.583 ,    0.407
     model-6408 ,    0.775 ,    0.619 ,    0.476 ,    0.354 ,    0.261 ,    0.580 ,    0.394
     model-6708 ,    0.770 ,    0.605 ,    0.456 ,    0.332 ,    0.262 ,    0.572 ,    0.385
     model-7008 ,    0.768 ,    0.602 ,    0.456 ,    0.336 ,    0.260 ,    0.570 ,    0.383
     model-7308 ,    0.780 ,    0.621 ,    0.473 ,    0.347 ,    0.261 ,    0.580 ,    0.395
     model-7608 ,    0.776 ,    0.621 ,    0.479 ,    0.359 ,    0.262 ,    0.581 ,    0.404
     model-7908 ,    0.779 ,    0.623 ,    0.479 ,    0.356 ,    0.264 ,    0.583 ,    0.401
     model-8444 ,    0.776 ,    0.614 ,    0.467 ,    0.345 ,    0.261 ,    0.576 ,    0.389
     model-8744 ,    0.773 ,    0.614 ,    0.469 ,    0.344 ,    0.260 ,    0.575 ,    0.394
